predicted_target,prob_computer,prob_forsale,prob_recreation,prob_religion,prob_science,original_text,original_target,target,n_tokens,string_size,timestamp
science,0.3297882198687377,0.0372689915350281,0.0558933264155349,0.0168248972460489,0.56022456493465,"try finding a friend that has caller id, then give him a call...  jb       Path: shearson.com!uupsi!psinntp!uunet!haven.umd.edu!darwin.sura.net!newsserver.jvnc.net!howland.reston.ans.net!noc.near.net!nic.umass.edu!risky.ecs.umass.edu!umaecs!alee    From: alee@ecs.umass.edu    Newsgroups: sci.electronics    Date: 18 Apr 93 15:04:10 GMT    Lines: 13      Greetings!  	   Situation:  I have a phone jack mounted on a wall.  I don't 		       know the number of the line.  And I don't want 		       to call up the operator to place a trace on it.  	   Question:   Is there a certain device out there that I can 		       use to find out the number to the line? 	   Thanks for any response. 						       Al",sci.electronics,science,155,701,1713291526933
science,0.0373613733698974,0.0137744432334119,0.0718048568728122,0.2650586181825962,0.6120007083412822,": >	Not to pick on Mr. May in particular, of course, but isn't this : >kind of the domino theory? When one little country falls, its neighbor : >will surely follow, and before you know it, we're all mining salt : >in Siberia for not turning in our Captain Crunch Secret Decoder Rings. :  : But, for all the wrongness of our attempt to correct it (VietNam, et. al.), : the domino theory wasn't disproved at all.  Ironically, the domino theory in fact *was* a reasonable metaphor for the collapse of communism, from the liberalizations in Poland and Hungary to the border crossings in the summer of '89 to the fall of the Wall later that year....and then to the ultimate collapse of the USSR.  -Tim May",sci.crypt,science,130,700,1713291786282
science,0.1253084523636249,0.0262893489631916,0.1400747261867443,0.0434344880458334,0.6648929844406057,"Afraid I can't give any more info on this.. and hoping someone in greter NETLAND has some details.  A short story in the newspaper a few days ago made some sort of mention about how the Japanese, using what sounded like a gravity assist, had just managed to crash (or crash-land) a package on the moon.  the article was very vague and unclear.  and, to make matters worse, I didn't clip it.  does this jog anyone's memory?",sci.space,science,81,422,1713292045630
religion,0.0651874298109982,0.0197916489835463,0.1164051037165205,0.6627602839061585,0.1358555335827762,"I recently read an article in a local paper written by an Islamic   person who was upset with the way Islam has been portrayed by western media.   When a terrorist action takes place in the middle east, it is always played   up as an Islamic Terrorist.  However, when the a Serbian terrorist attacks   the Croations, its not a Christian terrorist, its just a terrorist. 	I have often tried to explain this to some close friends who believe   the press, that Islam is somehow tied to violence.  Often times you hear   things like ""They just don't value human life like we do..."" and so on.   I was wondering if anyone out there had any suggestions for how we can   change this image, or how I can help my friends to see that this is just    hype.  I would appreciate any serious suggestions or comments via e-mail,   and I'm not interested in hearing about how right the press is.",talk.religion.misc,religion,181,879,1713292304978
computer,0.8339525274192209,0.0210316049634272,0.0421725214818861,0.0226267354786501,0.0802166106568156,"From article <0096B11B.08A283A0@vms.csd.mu.edu>, by 2a42dubinski@vms.csd.mu.edu:  Try using the extended character set  (Alt-####  sequences) . .  look in Character Map in the Accessories group and see the alt-sequence for the font you want!",comp.os.ms-windows.misc,computer,36,241,1713292564326
recreation,0.0723264187322159,0.0615610617644718,0.6451013992141563,0.0340936190572475,0.1869175012319085,"OK...  5) How about a fuel gauge that *really* told you how much fuel was    left.  Like, ""can I make it to where the gas is $1.14 or should    I get gouged right here at $1.35?""  Accurate to the tenth of a    gallon would be great.",rec.autos,recreation,58,232,1713292823674
religion,0.0172018049958686,0.0069131505843937,0.0712248702366365,0.828169748732997,0.0764904254501039,"Well, this particular thread of vituperation slopped its venom over into alt.atheism, where we spend most of our time entertaining arguments against our belief system, without resorting to accusing others of bigotry.  It's somewhat ironic that our exposure to bigotry happens in this instance to have originated in rec.scouting, since I always understood scouting to teach tolerance and diversity.  I understand bigotry to be irrational prejudice against other people who happen to be of a different race, religion, ethnic background, sex, or other inconsequential characteristics.  All the evidence I've seen indicates that sexual orientation and lack of belief in gods are exactly such inconsequential characteristics.  Thus, pending further evidence, I conclude that those who show prejudice against such people are bigots, and organizations that exclude such people are discriminatory.",alt.atheism,religion,133,889,1713293083023
science,0.0416652972635256,0.0134096653781862,0.0795972365333174,0.0721191511450352,0.7932086496799355,"Really? Why are so you worried about high school kids ""getting their kicks"" with scanners, as compared to what the feds can do, and have done, to their targets?  ""Better than the status quo"" isn't good enough, I'd say. The same  technology could be implemented WITHOUT a back door open to the state.  We all know about power and corruption. But we all know that abuse is something that only happens to the other guy.    --  ------------------------------------------------------------------------------ John Hesse           |          A man,      jhesse@netcom.com    |                 a plan,  Moss Beach, Calif    |                         a canal, Bob.",sci.crypt,science,171,655,1713293342371
computer,0.7746097044190662,0.0607883444094831,0.0503391439945211,0.0134746174860346,0.1007881896908948,"Whatever equipment will work on a mac plus or a mac se will work fine on  a mac portable. It doesn't have a sound input, but there is equipment  that works fine with those models mentioned in macuser/macworld.",comp.sys.mac.hardware,computer,40,209,1713293601719
computer,0.7996180413342378,0.0209070557602412,0.0158477869230283,0.011669254370538,0.1519578616119545,": |>  : |>         Is there any way to connect two pointing devices to one serial : |>         port? I haven't tried this but I believe they would interfere : |>         with each other (?) even if only one at a time would be used.  : 	Just get an A-B switch for RS232. Look in Computer Shopper. : They are available fairly cheap. They allow switching between two : serial devices on a single port.  Unfortunately the poster wants to use an internal and an external modem so a switch isn't going to help them.  If you aren't using your com ports for anything else, just define them on different com ports.  Define your internal modem to be say, com1, and your external modem to be com3.  You really shouldn't have to worry about interrupt conflicts since you won't be using both modems at the same time :).",comp.graphics,computer,178,806,1713293861067
forsale,0.3767035931335618,0.4644976241363128,0.0168528535086114,0.0121491865355402,0.1297967426859738,"GATEWAY Telepath 9600/9600 FAx/modem for gateway computer with crosstalk, Winfax Pro 2.01 for windows Never used.  $170 shipped ($195 from gateway)",misc.forsale,forsale,22,147,1713294120415
science,0.0583687612323143,0.0215171288032527,0.1302497507033221,0.089055607040852,0.7008087522202588,"One should be aware that foreign doctors admitted for training are ineligible to apply for resident alien status.  In order to get the green card they have to return to their country and apply at the embassy there.  Of course, many somehow get around this problem.  Often it is by agreeing to practice in a town with a need and then the congressman from that district tacks a rider onto a bill saying ""Dr. X will be allowed to have permanent residency in the US.""  A lot of bills in congress have such riders attached to them.  Marrying a US citizen is the most common, although now they are even cracking down on that and trying to tell US citizens they must follow their spouse back to the Phillipines, or whereever.    --  ---------------------------------------------------------------------------- Gordon Banks  N3JXP      | ""Skepticism is the chastity of the intellect, and geb@cadre.dsl.pitt.edu   |  it is shameful to surrender it too soon.""",sci.med,science,173,949,1713294379764
computer,0.6917092574707243,0.1317080319608056,0.0595526408497664,0.0179298787112844,0.099100191007419,"Hello, I am looking for commercial software packages for professional fashion designers.  Any recommendation and pointers are greatly appreciated. Please e-mail me, if you may.  Thanks a million.  -- Ge",comp.graphics,computer,33,202,1713294639112
science,0.0779540541066916,0.0090863264313531,0.0332556026530983,0.0307615268442634,0.8489424899645934,"Some thoughts:  Has any work been done on encapsulating encrypted data inside ""non-encrypted"" data files?  Many file formats can be written with ""gaps"" in them to hide other data.  New file formats could be designed to have alternate data hidden by dispersing it amongst the ""legitimate"" data.  The hidden data would only show up with the right key(s), and a file with hidden data would be indistinguishable from one without.  So, only the correct key(s) would reveal the presence of an ""illegal"" document.  If I devise a custom file compression algorithm and only I and a friend have the uncompressor, and otherwise the file appears to be total gigerish, do I have the right to transmit the file?  Will we have to ""escrow"" all our data file formats?  Are gangs required to escrow their hand signals, colors and catch phrases?",sci.crypt,science,148,826,1713294898460
science,0.0545448129050778,0.0306170429055053,0.0674194555125058,0.1102791796963574,0.7371395089805536,"A brain abscess is an infection deep in the brain substance.  It is hard to cure with antibiotics, since it gets walled off, and usually, it needs surgical drainage.    --  ---------------------------------------------------------------------------- Gordon Banks  N3JXP      | ""Skepticism is the chastity of the intellect, and geb@cadre.dsl.pitt.edu   |  it is shameful to surrender it too soon.""",sci.med,science,67,396,1713295157808
recreation,0.1452251860847453,0.2480858057700164,0.2917927707311548,0.0400556681685948,0.2748405692454885,"I'll be spending this summer in Washington, DC working in Bowie, MD. Does anyone have a summer sublease that they'd like to unload?  I'll be in the area from about May 7 - August 20.      Please mail me any pertinent info at (kimgh@mentor.cc.purdue.edu).",misc.forsale,forsale,49,254,1713295417156
science,0.2549878416193926,0.0553743298700581,0.2082880933426796,0.1885447959426585,0.292804939225211,"In <sfnNTrC00WBO43LRUK@andrew.cmu.edu> ""David R. Sacco"" <dsav+@andrew.cmu.edu>    Yes.  MAC -- ****************************************************************                                                     Michael A. Cobb  ""...and I won't raise taxes on the middle     University of Illinois     class to pay for my programs.""                 Champaign-Urbana           -Bill Clinton 3rd Debate             cobb@alexia.lis.uiuc.edu",alt.atheism,religion,139,437,1713295676505
forsale,0.2124935956395841,0.6656735202083075,0.0248405226984096,0.0091526114008138,0.0878397500528847,"I would like to sell my Logitech Hand-held 256 Gray Scale Scanner. I originally bought it as a toy and have no practical use for it. Hardly ever used it.  Package includes: -board -Scan-Mate software -Ansel Image Editing software -All original manuals, box, etc.  Originally bought for $350 in Jan '92. Selling for $150.",misc.forsale,forsale,56,320,1713295935853
computer,0.881096302880458,0.0156818010291302,0.0195902591063567,0.0150938282040154,0.0685378087800394,"Ummm.. I think you left the message out...  I get these protection faults all the time on my machine at work, a 486 33MHz with 4MB RAM, Windows 3.1, with Dos 5.0.    At home (on a 386 40MHz, 8MB RAM, Windows 3.1 and Dos 5.0) I *never* get these.    Any idea what could be wrong?  Someone already suggested I check for tmp files in the windows/temp directory, there are none there.  The message I get is:  	This application has violated system integrity due to an invalid 	general protection fault and will be terminated.  I only have this problem with applications running in DOS boxes (with or without .pif files setup for them).  Any hints/help greatly appreciated.  Please post since at least one other person is also having gpf problems.  Thanks,     Gordon",comp.os.ms-windows.misc,computer,149,761,1713296195201
computer,0.882017356463942,0.0228477311813842,0.0320747902333336,0.0050559485917522,0.0580041735295879,I've had my Duo 230 for a few weeks now and suffer from both of the above problems. I reinstalled my system software twice in an effort to combat the problems - thinking they were system software problems. Initially reinstalling the system seemed to help but not anymore. Occasionally when I try to wake up the Duo I get a solid screen of horizontal lines on the screen - it freezes.  I also get the high-pitched hiss occasionally - but only at startup.  I've called the apple hotline (800 SOS-APPL) three times already and finally they agreed something is astray after my Duo's screen would go dim and the hard drive spun down by itselft and put itself to sleep. This problem only occured twice. Apple sent me a box to ship my Duo to be looked at in New York but the problem now is intermittent and I can't afford to be without my Duo at this time.  Anyone out there with these same problems?,comp.sys.mac.hardware,computer,169,893,1713296454549
computer,0.4538292534846543,0.0422144512583275,0.0314913346930053,0.0346031859587897,0.4378617746052232,"According to my TI databook, the pinouts for the TIL311 display are as follows:    Pin 1 - LED supply voltage  Pin 2 - Latch data input B  Pin 3 - Latch data input A  Pin 4 - Left decimal point cathode  Pin 5 - Latch strobe input  Pin 6 - Omitted  Pin 7 - Common ground  Pin 8 - Blanking input  Pin 9 - Omitted   Pin 10 - Right decimal point cathode  Pin 11 - Omitted  Pin 12 - Latch data input D  Pin 13 - Latch data input C  Pin 14 - Logic supply voltage, Vcc   The logic supply voltage is 5V @ 60-90mA. The LED supply is also 5V, but it need not be particularly well regulated. The LED drivers on the chip use a constant current source, so LED intensity is not affected by the supply voltage.",sci.electronics,science,159,695,1713296713897
computer,0.7299889302601964,0.1153450001431563,0.0310413846395736,0.0192867194875304,0.1043379654695431,Has someone a list of CD-ROM's with no SCSI-Interface and if known how much they are present in the market.  Please mail direcktly as I am not reguarly reading the group.  I'll post a summary if wanted.   Thanks  Ihno  ============================================================================== Ihno Krumreich       | Phone (49) 721 955 253 0        U   U N   N  III  X   X Synerix Gmbh         | email: ihno@generics.ka.sub.org U   U NN  N   I    X X Bach Strasse 24      | FAX   (49) 721 59 02 11         U   U N N N   I     X D-W7500 Karlsruhe 21 |                                 U   U N  NN   I    X X                                                         UUU  N   N  III  X   X,comp.sys.ibm.pc.hardware,computer,271,688,1713296973246
recreation,0.0303588754125646,0.0202291444944574,0.6999683783461343,0.1216807161863778,0.1277628855604657,"Just wondering.  A friend and I were talking the other day, and we were (for some reason) trying to come up with names of Jewish baseball players, past and present.  We weren't able to come up with much, except for Sandy Koufax, (somebody) Stankowitz, and maybe John Lowenstein.  Can anyone come up with any more.  I know it sounds pretty lame to be racking our brains over this, but humor us.  Thanks for your help.",rec.sport.baseball,recreation,80,416,1713297232594
religion,0.0169190211750973,0.0112129332681403,0.072285452463571,0.8624146999385368,0.0371678931546546,Christians through ages have had to learn to be patient. I do think it's time to face the reality. The events during the last 52 two days showed what the world is really like.  Kent,talk.religion.misc,religion,36,181,1713297491942
computer,0.3456411637815766,0.0793365624658187,0.2521299341831011,0.1201365161446928,0.2027558234248107,//// Much stuff deleted //////,comp.os.ms-windows.misc,computer,5,30,1713297751290
computer,0.7936930376137846,0.0164287574981029,0.0359460364719337,0.0265670553586703,0.1273651130575083,"Hi.  The RTrace ray tracer supports 3D text as a primitive, not collections of spheres, cylinders and so on... The 3D chars are made of lines and splines that are extruded...  Please have a look at asterix.inescn.pt [192.35.246.17] in directory pub/RTrace. In pub/RTrace/tmp there are some demo images with high quality text. All of them are called Text?.jpg (JPEG encoded). See them first and then tell me what you think.",comp.graphics,computer,72,422,1713298010638
religion,0.01151963449521,0.004861591392219,0.0214647999009995,0.8966494713812092,0.065504502830362,"Golgotha the whole process of the fall of man  This was precisely my point.  From a theological bent, those who lived immediately after the flood, such as Noah, Ham, his son Cush, and his son Nimrod had a much stronger appreciation of Divine wrath.  They also had a stronger understanding of the True God.  In fact, this immediacy was a cause of hardship for some, so much so that Atlas, who is seen with heavens resting on his shoulders.  But this is not merely the physical heavens that he is lifting.  It is to put God and the strict spirituality of His law at a distance, and thus he became the ""Elevator of the heavens.""  This ""god"" made men able to ""feel"" as if heaven were afar off and ""as if either the God of Heaven could not see through the dark cloud, or did not regard with displeasure the breakers of His laws.""  It is interesting to see that it was that was titled ""Emancipator"" or ""Deliverer""  or Phoroneus. It was Nimrod who invaded the patriarchal system and abridged the liberties of mankind, yet was worship for having given many benefits.  He was a deliverer all right but not as we think of Christ as a Deliverer.  One delivered from a conscious feeling of God's wrath, the other actually performed a delivery from Gods wrath and it is up to us to accept it as true.   I don't see the problem.  From the time of Adam, those who looked forward to the coming ""Anointed One"" and put their faith in the fact that it was God who was to do the provision, were accounted as righteous.  But up to the Crucifixion, their sins were only covered, not taken away.  Therefore, the dispensation of the Church views the accountability of sin the same, but see it as a completed action.  Rom's makes it clear that it has always been salvation via faith and nothing else.   I understand what you're trying to convey, but I don't think I'd lay hold of it because the scriptures do equate the eternality of the second death with the eternality of, say the Church ruling with Christ.  Jn 17 tells us what eternal life is exactly, as you are correct that it is much more than non-cessation of consciousness.     It depends upon your def of ""lost.""  The elect were lost only in time as outside of time they had been chosen from the foundation of the world.  Existentially we were all born ""lost"", but the ""righteous"" were ""in Christ"" and therefore never *assuredly* lost.    Maybe this summer I could find time to put together a paper on it.  I simply have to buy more books for myself, and these older books are very expensive.  Either that or countless trips to the oriental museum.   Couldn't agree with you more.  Our understanding, of say eschatology, is clearly clearer than that of, say Isaiah.  But that is not what I was referring to.    No, I understand it as you have said. This was my point.   Ah!  This is it.  This is the big question.  However, I would say, again I think, that the best lie is one that has an appreciable amount of truth to it.  Look at Satan's twist of God's Word when he coerced Eve.  That is a very interesting study.   >The similarity in the midst of great variety of  Yes, that is my point.  But it is a two edged sword. For some do not want the underlying reality to be revealed.  They were not known as ""mystery"" religions for no reason.  There was the public side of them and there was the private side, that was so protected that the initiates to an oath of death if they revealed that private side.  That is why it is so hard to bring their teachings to light. The ""Mystery of Iniquity"" that we find in the Bible, correlates to this I think.  The primary object of the mysteries was to introduce privately, little by little, under the seal of secrecy and sanction of oath, what it would not have been safe to openly profess was the true religion.  Case in point today might be the Masons.  (Just a note, that they too worshipped Osiris in Egypt, who can be traced to Nimrod, the ""husband son."")   No, I disagree with you here Gerry.  I know what you're alluding to in that the church, primarily the RCC, did endorse Aristotelian philosophy into their worldview, but I would disagree with you that it originated in Greece.  If you are a student of history, you will come to see that much of what Greece came to expound to the world as their original, was just an adulteration of that which they had taken from conquered countries.  The soul is clearly mentioned and discussed at length in the Egyptian religions. As was the unity of God and also the trinity of God.  See if you can find Wilkinson's ""Egyptians.""  He really does a number on what the Greeks did to what they ""pilfered"" from the Egyptians.    I'm not knocking Aristotle or Plato or any other Greek thinker.  Its just that ""there is nothing new under the sun.""",soc.religion.christian,religion,932,4763,1713298269987
