YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,timestamp,predicted_ARRIVAL_DELAY
2015,1,1,4,AS,818,N558AS,SMF,SEA,1955,2000.0,5.0,22.0,2022.0,121.0,123.0,94.0,605,2156.0,7.0,2156,2203.0,7.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-3.3684713536948734
2015,1,1,4,WN,3316,N946WN,OAK,LAX,1725,1753.0,28.0,9.0,1802.0,70.0,71.0,53.0,337,1855.0,9.0,1835,1904.0,29.0,0,0,,8.0,0.0,0.0,21.0,0.0,2022-11-13 08:33:55.975683,-13.566888585107789
2015,1,1,4,UA,656,N812UA,ORD,ALB,1414,1408.0,-6.0,20.0,1428.0,115.0,105.0,80.0,723,1648.0,5.0,1709,1653.0,-16.0,0,0,,,,,,,2022-11-13 08:33:55.975683,46.64619578928419
2015,1,1,4,MQ,3050,N902MQ,DFW,VPS,2010,2022.0,12.0,12.0,2034.0,108.0,98.0,83.0,641,2157.0,3.0,2158,2200.0,2.0,0,0,,,,,,,2022-11-13 08:33:55.975683,2.802866019901734
2015,1,1,4,WN,3130,N8632A,DAL,LGA,1650,1658.0,8.0,10.0,1708.0,195.0,178.0,153.0,1381,2041.0,15.0,2105,2056.0,-9.0,0,0,,,,,,,2022-11-13 08:33:55.975683,280.17571545569655
2015,1,1,4,AA,1023,N492AA,AUS,DFW,1330,1328.0,-2.0,12.0,1340.0,65.0,59.0,35.0,190,1415.0,12.0,1435,1427.0,-8.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-15.774574698630095
2015,1,1,4,WN,44,N202WN,HOU,DAL,1700,1742.0,42.0,7.0,1749.0,60.0,53.0,41.0,239,1830.0,5.0,1800,1835.0,35.0,0,0,,0.0,0.0,0.0,35.0,0.0,2022-11-13 08:33:55.975683,-2.1412599428000267
2015,1,1,4,US,2048,N813AW,PHL,IND,1745,1759.0,14.0,16.0,1815.0,124.0,129.0,107.0,588,2002.0,6.0,1949,2008.0,19.0,0,0,,5.0,0.0,14.0,0.0,0.0,2022-11-13 08:33:55.975683,44.12531686026735
2015,1,1,4,UA,245,N807UA,CMH,ORD,735,732.0,-3.0,10.0,742.0,84.0,82.0,56.0,296,738.0,16.0,759,754.0,-5.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-64.73797597898951
2015,1,1,4,EV,2530,N877AS,BTR,DFW,1755,1752.0,-3.0,10.0,1802.0,85.0,87.0,65.0,383,1907.0,12.0,1920,1919.0,-1.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-9.64347041804733
2015,1,1,4,MQ,3296,N922MQ,LRD,DFW,1100,,,,,80.0,,,396,,,1220,,,0,1,B,,,,,,2022-11-13 08:33:55.975683,109.51430484988006
2015,1,1,4,EV,4160,N11150,JAX,EWR,540,531.0,-9.0,9.0,540.0,137.0,132.0,109.0,820,729.0,14.0,757,743.0,-14.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-4.1052869301659545
2015,1,1,4,HA,346,N476HA,LIH,HNL,1048,1112.0,24.0,7.0,1119.0,33.0,47.0,20.0,102,1139.0,20.0,1121,1159.0,38.0,0,0,,0.0,0.0,14.0,24.0,0.0,2022-11-13 08:33:55.975683,108.98104852135022
2015,1,1,4,WN,23,N229WN,DEN,DAL,835,834.0,-1.0,17.0,851.0,115.0,119.0,99.0,651,1130.0,3.0,1130,1133.0,3.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-10.703475178415673
2015,1,1,4,DL,2151,N329NW,MIA,LGA,700,657.0,-3.0,18.0,715.0,179.0,180.0,145.0,1096,940.0,17.0,959,957.0,-2.0,0,0,,,,,,,2022-11-13 08:33:55.975683,41.42527732728481
2015,1,1,4,VX,932,N623VA,SFO,LAX,1535,1531.0,-4.0,15.0,1546.0,80.0,80.0,59.0,337,1645.0,6.0,1655,1651.0,-4.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-16.930500762660742
2015,1,1,4,OO,5317,N566SW,SFO,CEC,1610,1605.0,-5.0,19.0,1624.0,94.0,101.0,77.0,304,1741.0,5.0,1744,1746.0,2.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-7.063253275992995
2015,1,1,4,EV,4090,N12172,BNA,IAH,1456,1443.0,-13.0,7.0,1450.0,139.0,156.0,134.0,657,1704.0,15.0,1715,1719.0,4.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-20.038150608191017
2015,1,1,4,OO,5590,N790SK,SAT,DEN,1652,1706.0,14.0,19.0,1725.0,134.0,170.0,123.0,794,1828.0,28.0,1806,1856.0,50.0,0,0,,36.0,0.0,0.0,14.0,0.0,2022-11-13 08:33:55.975683,-6.713149211738459
2015,1,1,4,UA,1202,N67827,SEA,DEN,1523,1540.0,17.0,10.0,1550.0,151.0,168.0,144.0,1024,1914.0,14.0,1854,1928.0,34.0,0,0,,17.0,0.0,17.0,0.0,0.0,2022-11-13 08:33:55.975683,-14.905576523406369
2015,1,1,4,OO,4771,N453SW,DLH,MSP,900,854.0,-6.0,28.0,922.0,76.0,75.0,39.0,144,1001.0,8.0,1016,1009.0,-7.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-2.916042626299718
2015,1,1,4,UA,294,N849UA,SFO,DFW,1355,1353.0,-2.0,12.0,1405.0,205.0,208.0,183.0,1464,1908.0,13.0,1920,1921.0,1.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-30.23237542170381
2015,1,1,4,OO,7414,N429SW,RHI,MSP,930,922.0,-8.0,33.0,955.0,67.0,80.0,41.0,190,1036.0,6.0,1037,1042.0,5.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-83.58618408986338
2015,1,1,4,WN,349,N417WN,SJU,BWI,1745,1742.0,-3.0,26.0,1808.0,265.0,269.0,240.0,1565,2108.0,3.0,2110,2111.0,1.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-8.430412729563562
2015,1,1,4,DL,147,N127DL,SLC,ATL,1415,1411.0,-4.0,26.0,1437.0,217.0,219.0,184.0,1590,1941.0,9.0,1952,1950.0,-2.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-2.3257604852598512
2015,1,1,4,WN,1688,N969WN,MDW,SFO,845,850.0,5.0,10.0,900.0,300.0,270.0,247.0,1855,1107.0,13.0,1145,1120.0,-25.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-32.76253613538919
2015,1,1,4,WN,989,N943WN,ATL,RDU,2115,2149.0,34.0,11.0,2200.0,80.0,70.0,57.0,356,2257.0,2.0,2235,2259.0,24.0,0,0,,0.0,0.0,18.0,6.0,0.0,2022-11-13 08:33:55.975683,-8.997802827022099
2015,1,1,4,US,411,N904AW,OGG,PHX,1405,1426.0,21.0,10.0,1436.0,352.0,335.0,321.0,2845,2257.0,4.0,2257,2301.0,4.0,0,0,,,,,,,2022-11-13 08:33:55.975683,37.8641252883145
2015,1,1,4,B6,264,N768JB,SEA,JFK,2143,2217.0,34.0,12.0,2229.0,301.0,280.0,262.0,2422,551.0,6.0,544,557.0,13.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-1.1858583387426012
2015,1,1,4,WN,4124,N935WN,ABQ,PHX,1835,1849.0,14.0,10.0,1859.0,75.0,73.0,57.0,328,1956.0,6.0,1950,2002.0,12.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-16.990298062208897
2015,1,1,4,WN,4380,N921WN,LAX,OAK,1430,1432.0,2.0,14.0,1446.0,75.0,76.0,57.0,337,1543.0,5.0,1545,1548.0,3.0,0,0,,,,,,,2022-11-13 08:33:55.975683,27.427999657037095
2015,1,1,4,DL,2330,N617DL,FLL,ATL,1945,1940.0,-5.0,13.0,1953.0,111.0,99.0,80.0,581,2113.0,6.0,2136,2119.0,-17.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-10.209335262446997
2015,1,1,4,WN,2047,N8610A,MCO,PHX,1650,1650.0,0.0,16.0,1706.0,290.0,283.0,262.0,1849,1928.0,5.0,1940,1933.0,-7.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-9.931244368184124
2015,1,1,4,AA,2270,N467AA,DFW,MSY,2215,2222.0,7.0,12.0,2234.0,75.0,77.0,63.0,447,2337.0,2.0,2330,2339.0,9.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-13.574351342150836
2015,1,1,4,OO,6249,N771SK,LAS,SFO,1049,1048.0,-1.0,17.0,1105.0,104.0,91.0,63.0,414,1208.0,11.0,1233,1219.0,-14.0,0,0,,,,,,,2022-11-13 08:33:55.975683,5.159044410338092
2015,1,1,4,DL,514,N914DE,ATL,BDL,1216,1216.0,0.0,12.0,1228.0,138.0,125.0,109.0,859,1417.0,4.0,1434,1421.0,-13.0,0,0,,,,,,,2022-11-13 08:33:55.975683,16.016789809907323
2015,1,1,4,EV,4311,N15912,ORD,ABE,1820,1812.0,-8.0,22.0,1834.0,109.0,105.0,77.0,654,2051.0,6.0,2109,2057.0,-12.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-7.7357338931192
2015,1,1,4,B6,1459,N554JB,BDL,FLL,1620,1645.0,25.0,11.0,1656.0,199.0,175.0,160.0,1173,1936.0,4.0,1939,1940.0,1.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-11.482509568272423
2015,1,1,4,EV,4707,N11526,IAH,HRL,1530,1537.0,7.0,13.0,1550.0,71.0,,,295,,,1641,,,0,1,B,,,,,,2022-11-13 08:33:55.975683,-12.285644602120328
2015,1,1,4,WN,1084,N733SA,MDW,MCO,1750,1750.0,0.0,6.0,1756.0,155.0,136.0,127.0,990,2103.0,3.0,2125,2106.0,-19.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-13.34405200833212
2015,1,1,4,WN,1847,N470WN,STL,MDW,1340,1336.0,-4.0,7.0,1343.0,65.0,57.0,44.0,251,1427.0,6.0,1445,1433.0,-12.0,0,0,,,,,,,2022-11-13 08:33:55.975683,9.328894704378204
2015,1,1,4,MQ,3014,N908MQ,HOU,DFW,600,,,,,70.0,,,247,,,710,,,0,1,B,,,,,,2022-11-13 08:33:55.975683,0.6151142780660771
2015,1,1,4,EV,2568,N909EV,SPS,DFW,1010,,,,,50.0,,,113,,,1100,,,0,1,A,,,,,,2022-11-13 08:33:55.975683,23.566547523984507
2015,1,1,4,EV,4600,N14117,RIC,ORD,1811,1759.0,-12.0,11.0,1810.0,129.0,144.0,124.0,642,1914.0,9.0,1920,1923.0,3.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-6.954242896680337
2015,1,1,4,VX,796,N525VA,SEA,LAX,1505,1504.0,-1.0,12.0,1516.0,150.0,153.0,128.0,954,1724.0,13.0,1735,1737.0,2.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-82.33649558250569
2015,1,1,4,WN,4373,N436WN,MKE,LGA,1650,1710.0,20.0,12.0,1722.0,125.0,117.0,98.0,738,2000.0,7.0,1955,2007.0,12.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-16.15424010949345
2015,1,1,4,EV,4974,N855AS,SHV,ATL,1550,1547.0,-3.0,5.0,1552.0,99.0,90.0,79.0,551,1811.0,6.0,1829,1817.0,-12.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-1.382606875298644
2015,1,1,4,WN,39,N528SW,DAL,HOU,1600,1557.0,-3.0,8.0,1605.0,65.0,59.0,47.0,239,1652.0,4.0,1705,1656.0,-9.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-4.3688346212116445
2015,1,1,4,VX,759,N642VA,SEA,SFO,1935,1924.0,-11.0,11.0,1935.0,125.0,117.0,98.0,679,2113.0,8.0,2140,2121.0,-19.0,0,0,,,,,,,2022-11-13 08:33:55.975683,46.903739221825056
2015,1,1,4,B6,298,N508JB,MCO,LGA,1017,1016.0,-1.0,30.0,1046.0,148.0,160.0,125.0,950,1251.0,5.0,1245,1256.0,11.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-20.204746076175528
2015,1,1,4,WN,801,N449WN,BOS,BWI,805,757.0,-8.0,9.0,806.0,95.0,84.0,70.0,369,916.0,5.0,940,921.0,-19.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-23.49935501197847
2015,1,1,4,UA,587,N417UA,SFO,SNA,2039,2053.0,14.0,17.0,2110.0,87.0,82.0,61.0,372,2211.0,4.0,2206,2215.0,9.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-81.64908511850865
2015,1,1,4,EV,4626,N21154,IAH,LRD,1431,1427.0,-4.0,12.0,1439.0,77.0,70.0,55.0,301,1534.0,3.0,1548,1537.0,-11.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-21.95426656909522
2015,1,1,4,OO,5459,N295SW,SFO,RDD,1243,1239.0,-4.0,11.0,1250.0,67.0,59.0,45.0,199,1335.0,3.0,1350,1338.0,-12.0,0,0,,,,,,,2022-11-13 08:33:55.975683,12.630444554589983
2015,1,1,4,B6,231,N796JB,SLC,LGB,1223,1221.0,-2.0,13.0,1234.0,111.0,94.0,78.0,588,1252.0,3.0,1314,1255.0,-19.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-27.379523722921498
2015,1,1,4,OO,5505,N967SW,DEN,FAT,1845,1900.0,15.0,28.0,1928.0,147.0,131.0,100.0,844,2008.0,3.0,2012,2011.0,-1.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-0.0344854762886045
2015,1,1,4,US,773,N701UW,PHL,SJU,1155,1144.0,-11.0,10.0,1154.0,230.0,195.0,179.0,1576,1553.0,6.0,1645,1559.0,-46.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-6.133356775124855
2015,1,1,4,UA,529,N806UA,SNA,SFO,1703,1657.0,-6.0,9.0,1706.0,87.0,75.0,63.0,372,1809.0,3.0,1830,1812.0,-18.0,0,0,,,,,,,2022-11-13 08:33:55.975683,104.5080178627302
2015,1,1,4,WN,688,N242WN,MKE,STL,1945,1951.0,6.0,9.0,2000.0,75.0,69.0,55.0,317,2055.0,5.0,2100,2100.0,0.0,0,0,,,,,,,2022-11-13 08:33:55.975683,22.754543479542335
2015,1,1,4,MQ,2782,N1EAMQ,GUC,DFW,1151,,,,,119.0,,,678,,,1450,,,0,1,B,,,,,,2022-11-13 08:33:55.975683,-13.917640433410629
2015,1,1,4,OO,4539,N457SW,TUS,SLC,830,827.0,-3.0,28.0,855.0,119.0,125.0,91.0,601,1026.0,6.0,1029,1032.0,3.0,0,0,,,,,,,2022-11-13 08:33:55.975683,14.505582128015584
2015,1,1,4,OO,4820,N803SK,LAX,BOI,1554,1729.0,95.0,17.0,1746.0,125.0,122.0,102.0,674,2028.0,3.0,1859,2031.0,92.0,0,0,,0.0,0.0,92.0,0.0,0.0,2022-11-13 08:33:55.975683,-9.55677828291982
2015,1,1,4,WN,662,N258WN,MCI,DAL,805,756.0,-9.0,11.0,807.0,95.0,94.0,79.0,460,926.0,4.0,940,930.0,-10.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-9.756765163733306
2015,1,1,4,EV,4442,N12172,IAH,HOB,1800,,,,,100.0,,,501,,,1840,,,0,1,B,,,,,,2022-11-13 08:33:55.975683,89.17886982114717
2015,1,1,4,UA,226,N834UA,DEN,DSM,1553,1552.0,-1.0,11.0,1603.0,97.0,87.0,71.0,589,1814.0,5.0,1830,1819.0,-11.0,0,0,,,,,,,2022-11-13 08:33:55.975683,3.679140058024524
2015,1,1,4,OO,6345,N978SW,DEN,SLC,2206,2203.0,-3.0,50.0,2253.0,95.0,138.0,60.0,391,2353.0,28.0,2341,21.0,40.0,0,0,,40.0,0.0,0.0,0.0,0.0,2022-11-13 08:33:55.975683,4.219796118503595
2015,1,1,4,MQ,2976,N1EAMQ,DFW,OKC,1805,1837.0,32.0,18.0,1855.0,53.0,56.0,34.0,175,1929.0,4.0,1858,1933.0,35.0,0,0,,3.0,0.0,17.0,15.0,0.0,2022-11-13 08:33:55.975683,37.6754076727323
2015,1,1,4,WN,642,N201LV,SJC,LAS,1650,1713.0,23.0,9.0,1722.0,80.0,79.0,65.0,386,1827.0,5.0,1810,1832.0,22.0,0,0,,0.0,0.0,0.0,22.0,0.0,2022-11-13 08:33:55.975683,-6.013548905021883
2015,1,1,4,EV,4224,N13133,EWR,MKE,1613,1606.0,-7.0,14.0,1620.0,149.0,164.0,143.0,725,1743.0,7.0,1742,1750.0,8.0,0,0,,,,,,,2022-11-13 08:33:55.975683,113.2512442367251
2015,1,1,4,OO,4739,N8903A,FSD,MSP,1110,1104.0,-6.0,13.0,1117.0,72.0,60.0,38.0,196,1155.0,9.0,1222,1204.0,-18.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-1.02905278417727
2015,1,1,4,AA,189,N570AA,DFW,SJC,1250,1335.0,45.0,20.0,1355.0,220.0,215.0,192.0,1438,1507.0,3.0,1430,1510.0,40.0,0,0,,0.0,0.0,24.0,16.0,0.0,2022-11-13 08:33:55.975683,-8.914846958653124
2015,1,1,4,DL,1832,N957AT,ATL,PNS,1503,1501.0,-2.0,15.0,1516.0,78.0,66.0,46.0,271,1502.0,5.0,1521,1507.0,-14.0,0,0,,,,,,,2022-11-13 08:33:55.975683,1.237838227490852
2015,1,1,4,EV,5976,N14162,EWR,IAD,1011,1018.0,7.0,20.0,1038.0,75.0,71.0,44.0,212,1122.0,7.0,1126,1129.0,3.0,0,0,,,,,,,2022-11-13 08:33:55.975683,9.174274124668637
2015,1,1,4,AA,193,N3DNAA,JFK,BOS,1255,1306.0,11.0,16.0,1322.0,60.0,60.0,38.0,187,1400.0,6.0,1355,1406.0,11.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-3.876619529033455
2015,1,1,4,DL,823,N940DN,CLT,ATL,1040,1037.0,-3.0,15.0,1052.0,73.0,59.0,39.0,226,1131.0,5.0,1153,1136.0,-17.0,0,0,,,,,,,2022-11-13 08:33:55.975683,20.72524616514548
2015,1,1,4,AS,560,N435AS,SEA,PSP,640,636.0,-4.0,12.0,648.0,152.0,140.0,124.0,987,852.0,4.0,912,856.0,-16.0,0,0,,,,,,,2022-11-13 08:33:55.975683,25.41884350615832
2015,1,1,4,OO,5458,N563SW,SBP,SFO,1010,1126.0,76.0,7.0,1133.0,75.0,75.0,44.0,190,1217.0,24.0,1125,1241.0,76.0,0,0,,0.0,0.0,0.0,76.0,0.0,2022-11-13 08:33:55.975683,-13.674300068185335
2015,1,1,4,B6,890,N353JB,DCA,BOS,1750,1742.0,-8.0,11.0,1753.0,87.0,76.0,62.0,399,1855.0,3.0,1917,1858.0,-19.0,0,0,,,,,,,2022-11-13 08:33:55.975683,54.82058393587012
2015,1,1,4,WN,1591,N445WN,LAS,PHL,1555,1613.0,18.0,8.0,1621.0,275.0,247.0,232.0,2176,2313.0,7.0,2330,2320.0,-10.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-27.71444293267212
2015,1,1,4,OO,7401,N565SW,VEL,SLC,757,933.0,96.0,18.0,951.0,52.0,60.0,38.0,132,1029.0,4.0,849,1033.0,104.0,0,0,,8.0,0.0,96.0,0.0,0.0,2022-11-13 08:33:55.975683,-9.393758942932973
2015,1,1,4,WN,1750,N515SW,AUS,DAL,1550,1549.0,-1.0,11.0,1600.0,55.0,51.0,35.0,189,1635.0,5.0,1645,1640.0,-5.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-6.334197232050665
2015,1,1,4,AA,1530,N3KWAA,ORD,SJC,1045,1103.0,18.0,10.0,1113.0,275.0,254.0,241.0,1829,1314.0,3.0,1320,1317.0,-3.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-11.685572993263742
2015,1,1,4,DL,341,N343NB,GSO,ATL,730,727.0,-3.0,21.0,748.0,88.0,76.0,52.0,306,840.0,3.0,858,843.0,-15.0,0,0,,,,,,,2022-11-13 08:33:55.975683,44.48219936412954
2015,1,1,4,EV,4239,N28529,JAN,IAH,1806,1756.0,-10.0,9.0,1805.0,81.0,100.0,70.0,351,1915.0,21.0,1927,1936.0,9.0,0,0,,,,,,,2022-11-13 08:33:55.975683,3.418754073705205
2015,1,1,4,WN,368,N453WN,BWI,BDL,1820,1817.0,-3.0,7.0,1824.0,70.0,59.0,48.0,283,1912.0,4.0,1930,1916.0,-14.0,0,0,,,,,,,2022-11-13 08:33:55.975683,2.614683623903591
2015,1,1,4,MQ,3688,N661MQ,EYW,MIA,1945,1926.0,-19.0,6.0,1932.0,44.0,41.0,26.0,125,1958.0,9.0,2029,2007.0,-22.0,0,0,,,,,,,2022-11-13 08:33:55.975683,213.0212080534783
2015,1,1,4,AA,1115,N486AA,DFW,MFE,1640,1656.0,16.0,12.0,1708.0,90.0,97.0,82.0,469,1830.0,3.0,1810,1833.0,23.0,0,0,,7.0,0.0,0.0,16.0,0.0,2022-11-13 08:33:55.975683,1.1799875697324893
2015,1,1,4,MQ,3227,N623MQ,ORD,SGF,1710,1730.0,20.0,10.0,1740.0,98.0,91.0,75.0,438,1855.0,6.0,1848,1901.0,13.0,0,0,,,,,,,2022-11-13 08:33:55.975683,32.39122017335646
2015,1,1,4,WN,989,N943WN,SAN,DEN,930,931.0,1.0,8.0,939.0,145.0,125.0,111.0,853,1230.0,6.0,1255,1236.0,-19.0,0,0,,,,,,,2022-11-13 08:33:55.975683,20.9533477033615
2015,1,1,4,UA,1271,N75432,ORD,IAH,1654,1702.0,8.0,17.0,1719.0,166.0,180.0,148.0,925,1947.0,15.0,1940,2002.0,22.0,0,0,,14.0,0.0,8.0,0.0,0.0,2022-11-13 08:33:55.975683,24.598698419966933
2015,1,1,4,DL,2547,N917DE,LGA,ATL,1730,1746.0,16.0,12.0,1758.0,167.0,132.0,113.0,762,1951.0,7.0,2017,1958.0,-19.0,0,0,,,,,,,2022-11-13 08:33:55.975683,18.547304288940506
2015,1,1,4,UA,340,N422UA,IAH,LGA,1905,1926.0,21.0,23.0,1949.0,200.0,180.0,153.0,1416,2322.0,4.0,2325,2326.0,1.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-15.051462016419029
2015,1,1,4,B6,1501,N337JB,JFK,FLL,1219,1219.0,0.0,14.0,1233.0,184.0,175.0,152.0,1069,1505.0,9.0,1523,1514.0,-9.0,0,0,,,,,,,2022-11-13 08:33:55.975683,9.453051947360963
2015,1,1,4,UA,1734,N12109,EWR,ORD,1300,1257.0,-3.0,11.0,1308.0,153.0,141.0,124.0,719,1412.0,6.0,1433,1418.0,-15.0,0,0,,,,,,,2022-11-13 08:33:55.975683,14.24122430267222
2015,1,1,4,WN,1006,N8303R,LAS,CMH,1700,1701.0,1.0,9.0,1710.0,230.0,210.0,194.0,1771,2324.0,7.0,2350,2331.0,-19.0,0,0,,,,,,,2022-11-13 08:33:55.975683,31.45151644357589
2015,1,1,4,UA,1047,N28457,EWR,SAN,1914,2056.0,102.0,18.0,2114.0,381.0,339.0,318.0,2425,2332.0,3.0,2235,2335.0,60.0,0,0,,0.0,0.0,60.0,0.0,0.0,2022-11-13 08:33:55.975683,-13.895267880964168
2015,1,1,4,US,1915,N806AW,CLE,CLT,1535,1610.0,35.0,35.0,1645.0,95.0,110.0,64.0,430,1749.0,11.0,1710,1800.0,50.0,0,0,,15.0,0.0,23.0,12.0,0.0,2022-11-13 08:33:55.975683,45.04866008172974
