creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,churn,decisions
831,Massachusetts,Female,44,10,0.0,1,0,1,47729.33,yes,low_risk
752,Hawaii,Female,41,8,0.0,2,1,0,139844.04,no,high_risk
595,Florida,Female,23,10,101126.66,2,0,0,37042.8,yes,low_risk
725,California,Male,35,7,75915.75,1,1,0,150507.43,yes,low_risk
594,Hawaii,Female,31,9,0.0,1,0,1,5719.11,yes,low_risk
614,Hawaii,Female,27,9,106414.57,2,0,0,77500.81,yes,low_risk
798,New York,Female,39,6,119787.76,1,1,1,164248.33,yes,low_risk
850,California,Male,47,6,0.0,1,1,0,187391.02,no,high_risk
547,California,Male,62,10,127738.75,2,1,1,85153.0,yes,low_risk
681,California,Female,58,8,93173.88,1,1,1,139761.25,yes,low_risk
756,Hawaii,Male,67,4,0.0,3,1,1,93081.87,yes,low_risk
677,New York,Female,44,4,148770.61,2,1,1,191057.76,yes,low_risk
645,New York,Female,41,2,138881.04,1,1,0,129936.53,no,high_risk
577,Florida,Male,29,2,0.0,1,1,1,168924.41,yes,low_risk
617,Florida,Nonbinary,45,1,0.0,1,1,0,143298.06,yes,low_risk
597,Hawaii,Female,28,0,142705.95,1,1,0,127233.39,yes,low_risk
711,California,Female,25,5,190066.54,1,0,0,51345.39,no,high_risk
637,California,Male,41,2,0.0,2,0,1,102515.42,yes,low_risk
749,Massachusetts,Female,28,3,0.0,1,1,0,3408.7,yes,low_risk
770,Florida,Male,30,8,0.0,2,0,1,50839.85,yes,low_risk
623,Florida,Female,40,4,0.0,3,1,0,31669.18,yes,low_risk
607,Texas,Nonbinary,37,4,135927.06,1,0,0,180890.4,yes,low_risk
589,Hawaii,Female,31,10,110635.32,1,1,0,148218.86,yes,low_risk
452,Hawaii,Female,33,6,131698.57,2,1,0,151623.91,yes,low_risk
798,Hawaii,Male,37,8,0.0,3,0,0,110783.28,yes,low_risk
616,Texas,Female,43,7,95984.21,1,0,1,115262.54,no,high_risk
586,Texas,Female,47,5,157099.47,2,1,1,65481.86,yes,low_risk
632,Florida,Male,47,3,0.0,2,1,0,178822.32,yes,low_risk
653,Texas,Male,31,2,154741.45,2,0,0,25183.01,yes,low_risk
604,Florida,Male,27,9,101352.78,1,0,0,30252.3,yes,low_risk
718,California,Male,52,8,79475.3,3,1,1,32421.32,no,high_risk
618,California,Female,42,2,0.0,4,0,0,111097.39,no,high_risk
663,California,Female,33,2,0.0,2,1,0,153295.0,yes,low_risk
638,Texas,Male,25,4,148045.45,2,1,1,114722.42,yes,low_risk
565,Texas,Female,32,4,90322.99,2,0,1,118740.37,yes,low_risk
542,California,Female,31,3,0.0,2,1,1,115217.59,yes,low_risk
737,New York,Male,43,8,96353.8,1,0,0,10209.8,yes,low_risk
611,California,Male,38,4,71018.6,2,1,0,2444.29,yes,low_risk
620,Massachusetts,Male,29,9,0.0,2,1,0,13133.88,yes,low_risk
584,California,Female,41,3,0.0,2,1,1,160095.48,yes,low_risk
568,Florida,Female,36,10,153610.61,1,1,1,54083.8,no,high_risk
577,California,Female,32,1,0.0,2,1,0,9902.39,yes,low_risk
646,New York,Male,39,6,121681.91,2,0,1,61793.47,yes,low_risk
687,Florida,Female,50,5,0.0,2,1,0,110230.4,yes,low_risk
673,Massachusetts,Male,40,1,121629.22,1,1,1,3258.6,yes,low_risk
583,Massachusetts,Male,47,5,102562.23,1,1,0,92708.1,yes,low_risk
567,Hawaii,Female,35,5,166118.45,2,1,0,127827.18,yes,low_risk
425,Florida,Female,22,7,169649.73,2,0,1,136365.0,no,high_risk
477,New York,Female,58,8,145984.92,1,1,1,24564.7,yes,low_risk
536,California,Male,32,7,178011.5,2,1,0,22375.14,yes,low_risk
756,California,Female,42,9,0.0,2,1,0,35673.42,yes,low_risk
519,California,Female,22,8,0.0,1,0,1,167553.06,yes,low_risk
695,California,Female,42,7,121453.63,1,0,0,46374.64,yes,low_risk
715,California,Male,34,4,124314.45,1,0,0,97782.92,yes,low_risk
602,New York,Male,38,2,71667.97,2,0,0,137111.89,yes,low_risk
687,Hawaii,Female,47,7,0.0,2,1,1,177624.01,yes,low_risk
583,California,Male,59,7,127450.14,1,0,1,67552.71,yes,low_risk
640,Hawaii,Female,47,6,89799.46,2,0,1,13783.77,no,high_risk
490,Massachusetts,Male,31,3,145260.23,1,0,1,114066.77,yes,low_risk
469,California,Female,48,5,0.0,1,1,0,160529.71,no,high_risk
682,California,Female,46,2,0.0,1,1,1,114442.66,yes,low_risk
627,Massachusetts,Female,25,4,0.0,1,1,1,194313.93,yes,low_risk
502,California,Male,33,8,0.0,2,1,1,123509.01,yes,low_risk
658,California,Female,39,4,0.0,1,1,1,147530.06,yes,low_risk
573,Florida,Female,44,4,0.0,1,1,1,94862.93,yes,low_risk
701,Texas,Male,23,5,186101.18,2,1,1,76611.33,yes,low_risk
638,Hawaii,Female,32,0,0.0,2,1,0,160129.99,yes,low_risk
651,Massachusetts,Female,63,8,129968.67,1,1,1,11830.53,yes,low_risk
560,Hawaii,Female,30,0,108883.29,1,1,0,27914.95,yes,low_risk
749,Massachusetts,Male,36,7,0.0,2,0,0,80134.65,yes,low_risk
624,Massachusetts,Female,34,6,0.0,1,1,0,582.59,no,high_risk
747,California,Male,49,6,202904.64,1,1,1,17298.72,no,high_risk
496,New York,Female,59,7,91680.1,2,1,0,163141.18,no,high_risk
850,California,Female,71,4,0.0,2,1,1,107236.87,yes,low_risk
675,Massachusetts,Female,35,8,155621.08,1,0,1,35177.31,yes,low_risk
598,California,Female,40,9,0.0,1,1,0,68462.59,no,high_risk
781,California,Female,28,4,0.0,2,1,0,177703.15,yes,low_risk
645,California,Male,32,4,0.0,2,0,1,97628.08,yes,low_risk
471,Hawaii,Male,42,3,164951.56,1,1,0,190531.77,yes,low_risk
728,Hawaii,Male,43,7,0.0,2,1,0,40023.7,yes,low_risk
621,California,Female,40,6,0.0,1,1,0,155155.25,yes,low_risk
587,California,Female,46,6,88820.29,1,0,0,70224.34,yes,low_risk
720,Florida,Male,31,4,141356.47,1,0,0,137985.69,yes,low_risk
850,Hawaii,Male,31,1,96399.31,2,1,0,106534.15,yes,low_risk
554,Florida,Female,27,4,0.0,2,1,1,135083.73,yes,low_risk
556,California,Female,47,2,139914.27,1,1,1,50390.98,yes,low_risk
691,California,Male,24,6,0.0,2,1,1,92811.2,yes,low_risk
599,Florida,Male,35,6,137102.65,1,0,0,76870.81,yes,low_risk
621,New York,Female,31,8,100375.39,1,1,1,90384.26,yes,low_risk
594,New York,Female,29,3,130830.22,1,1,0,61048.53,yes,low_risk
683,Massachusetts,Female,36,7,0.0,2,1,0,104786.59,yes,low_risk
618,California,Male,48,7,0.0,1,1,0,13921.82,no,high_risk
606,Florida,Male,36,0,94153.56,1,0,1,120138.27,yes,low_risk
579,California,Female,29,10,73194.52,2,1,1,129209.09,yes,low_risk
526,Texas,Male,34,3,122726.56,1,1,1,46772.36,yes,low_risk
527,Florida,Male,28,6,128396.33,2,1,0,79919.97,yes,low_risk
648,Florida,Female,53,6,111201.41,1,1,1,121542.29,yes,low_risk
617,Florida,Male,38,7,0.0,1,1,1,27239.28,yes,low_risk
468,California,Male,36,3,61636.97,1,0,0,107787.42,yes,low_risk
629,New York,Female,37,1,35549.81,2,0,0,49676.33,yes,low_risk
728,Florida,Female,43,5,0.0,1,1,1,120088.17,yes,low_risk
534,Hawaii,Nonbinary,62,2,0.0,2,0,0,42763.12,no,high_risk
666,California,Female,33,2,147229.65,1,1,1,56410.17,yes,low_risk
766,Florida,Male,41,6,99208.46,2,1,0,62402.38,yes,low_risk
669,Hawaii,Male,25,1,157848.53,1,0,0,37543.93,no,high_risk
727,Massachusetts,Male,43,2,97403.18,1,1,1,107415.02,no,high_risk
771,Massachusetts,Female,33,5,0.0,2,1,0,8673.43,yes,low_risk
749,Hawaii,Male,40,1,139290.41,1,1,0,182855.42,no,high_risk
605,Hawaii,Female,28,6,0.0,2,0,0,159508.52,yes,low_risk
674,California,Male,46,2,174701.05,1,1,0,90189.72,no,high_risk
670,California,Female,42,6,112333.63,1,1,1,65706.86,yes,low_risk
783,Florida,Female,59,9,126224.87,1,1,1,4423.63,yes,low_risk
742,Hawaii,Female,28,2,191864.51,1,1,0,108457.99,no,high_risk
549,Texas,Female,49,6,124829.16,1,0,1,93551.36,yes,low_risk
654,Massachusetts,Female,36,2,0.0,2,1,1,146652.11,yes,low_risk
738,California,Male,26,9,0.0,2,1,1,48644.94,yes,low_risk
746,California,Male,37,2,0.0,2,1,0,143194.05,yes,low_risk
706,Florida,Female,53,3,0.0,3,0,0,88479.02,no,high_risk
554,California,Male,24,10,0.0,1,0,0,92180.62,yes,low_risk
508,California,Male,44,3,115451.05,2,0,0,67234.33,yes,low_risk
705,California,Female,37,10,0.0,2,1,1,13935.53,no,high_risk
769,Hawaii,Female,38,2,0.0,2,0,0,75578.67,yes,low_risk
708,Florida,Female,64,5,0.0,3,0,1,112520.07,no,high_risk
757,Texas,Male,31,8,149085.9,2,1,1,197077.36,yes,low_risk
685,Massachusetts,Female,30,2,0.0,3,1,1,172576.43,no,high_risk
699,Florida,Male,31,8,125927.51,2,1,0,147661.47,yes,low_risk
431,Hawaii,Male,37,0,120764.08,1,1,1,117023.08,yes,low_risk
533,New York,Male,43,4,80442.06,2,0,1,12537.42,yes,low_risk
633,California,Male,31,1,0.0,1,1,0,48606.71,yes,low_risk
580,Hawaii,Female,56,1,131368.3,1,1,0,106918.67,no,high_risk
746,Hawaii,Male,24,3,137492.35,2,0,1,170142.09,yes,low_risk
710,Hawaii,Female,36,4,116085.06,1,1,0,58601.61,yes,low_risk
654,California,Male,55,3,87485.67,1,1,1,3299.01,yes,low_risk
754,New York,Female,48,7,141819.02,1,1,0,93550.53,no,high_risk
783,Hawaii,Male,38,9,114135.17,1,1,0,153269.98,yes,low_risk
660,Florida,Female,42,5,0.0,3,1,1,189016.24,no,high_risk
654,California,Male,29,4,132954.64,1,1,1,146715.07,yes,low_risk
690,Florida,Female,36,10,91760.11,1,1,1,135784.94,yes,low_risk
578,California,Male,32,4,0.0,2,1,1,141822.8,yes,low_risk
740,California,Female,37,5,0.0,2,1,1,27528.4,yes,low_risk
653,Texas,Female,38,5,114268.22,2,1,1,89524.83,yes,low_risk
568,New York,Female,29,2,129177.01,2,0,1,104617.99,yes,low_risk
451,Massachusetts,Female,23,9,0.0,2,0,1,48021.71,yes,low_risk
662,Massachusetts,Female,54,1,187997.15,1,0,0,111442.71,no,high_risk
693,New York,Female,41,9,181461.48,3,1,1,187929.43,no,high_risk
503,Massachusetts,Male,37,6,0.0,2,0,0,136506.86,yes,low_risk
611,Florida,Female,28,3,96381.68,2,1,0,181419.29,yes,low_risk
696,New York,Male,32,4,84421.62,1,0,1,52314.71,yes,low_risk
717,Hawaii,Male,36,2,148061.89,1,1,0,179128.69,no,high_risk
506,California,Female,32,3,0.0,1,1,1,80823.02,yes,low_risk
714,California,Male,40,9,46520.69,1,1,1,96687.25,yes,low_risk
671,California,Female,31,7,41299.03,1,0,1,102681.32,yes,low_risk
808,Florida,Male,47,8,139196.0,1,0,1,74028.36,yes,low_risk
553,Texas,Female,25,7,128524.19,2,1,0,20682.46,yes,low_risk
570,California,Female,33,8,0.0,1,1,1,124641.42,yes,low_risk
702,Hawaii,Male,26,5,56738.47,2,1,1,100442.22,no,high_risk
606,Hawaii,Female,71,8,0.0,2,1,1,169741.96,yes,low_risk
539,California,Male,39,6,0.0,2,1,1,86767.48,yes,low_risk
748,Hawaii,Male,66,8,0.0,1,1,1,163331.65,yes,low_risk
785,California,Male,36,2,0.0,1,0,1,61811.1,yes,low_risk
600,Massachusetts,Male,37,8,177657.35,1,1,1,77142.32,yes,low_risk
567,Hawaii,Male,42,2,0.0,2,1,1,167984.61,yes,low_risk
680,Hawaii,Male,33,2,108393.35,1,0,1,39057.67,yes,low_risk
734,Hawaii,Male,45,2,0.0,2,1,0,99593.28,yes,low_risk
635,Hawaii,Female,58,1,0.0,1,1,1,58907.08,no,high_risk
592,California,Male,28,5,137222.77,1,0,0,39608.58,yes,low_risk
759,Florida,Female,35,7,147936.42,1,1,1,106785.7,yes,low_risk
580,California,Male,50,0,125647.36,1,1,0,57541.08,no,high_risk
680,Hawaii,Male,31,9,0.0,2,1,0,36145.53,yes,low_risk
670,Hawaii,Male,25,7,0.0,2,1,1,144723.38,yes,low_risk
632,Hawaii,Male,40,3,193354.86,2,1,0,149188.41,yes,low_risk
596,Hawaii,Male,33,8,0.0,1,1,0,121189.3,no,high_risk
599,Florida,Male,36,4,0.0,2,0,0,13210.56,yes,low_risk
653,California,Female,38,8,102133.38,1,1,1,166520.96,yes,low_risk
476,Texas,Male,30,3,134366.42,1,1,0,68343.53,yes,low_risk
714,Massachusetts,Male,44,7,0.0,1,0,1,6923.11,yes,low_risk
660,California,Male,35,7,0.0,2,1,0,13218.6,yes,low_risk
745,California,Female,40,6,131184.67,1,1,1,49815.62,yes,low_risk
552,Massachusetts,Female,34,4,0.0,2,1,0,140286.69,yes,low_risk
579,Massachusetts,Male,22,3,118680.57,1,1,1,49829.8,yes,low_risk
538,Texas,Male,39,7,108055.1,2,1,0,27231.26,yes,low_risk
556,Hawaii,Male,35,10,0.0,2,1,1,192751.18,yes,low_risk
601,California,Male,35,2,0.0,2,1,1,118983.18,yes,low_risk
662,Hawaii,Male,64,0,98848.19,1,0,1,42730.12,yes,low_risk
688,Hawaii,Male,26,0,0.0,2,1,0,105784.85,yes,low_risk
534,Florida,Male,51,3,0.0,2,0,1,20856.31,yes,low_risk
708,New York,Nonbinary,42,9,176702.36,2,1,1,104804.74,yes,low_risk
709,California,Female,30,5,0.0,2,0,1,161388.22,yes,low_risk
652,Hawaii,Female,34,6,97435.85,2,1,1,104331.76,yes,low_risk
694,Texas,Female,37,8,98218.04,2,1,0,182354.46,no,high_risk
622,California,Female,30,2,158584.82,3,1,0,142342.55,no,high_risk
496,Hawaii,Male,31,5,0.0,2,1,0,93713.13,yes,low_risk
707,Hawaii,Male,29,4,0.0,2,1,0,139953.94,yes,low_risk
598,Florida,Female,35,8,0.0,3,0,1,88658.73,yes,low_risk
648,Texas,Female,39,3,126935.98,2,0,1,57995.74,yes,low_risk
543,Florida,Male,37,3,0.0,2,1,1,78915.68,yes,low_risk
614,Massachusetts,Female,41,7,146997.64,2,0,0,137791.18,yes,low_risk
652,Massachusetts,Female,38,6,123081.84,2,1,1,188657.97,yes,low_risk
405,California,Male,39,10,0.0,1,1,0,160810.85,no,high_risk
708,Texas,Female,54,8,145151.4,1,0,1,125311.17,no,high_risk
793,Florida,Male,52,2,0.0,1,1,0,159123.82,no,high_risk
748,Hawaii,Male,44,4,112610.77,1,0,1,2048.55,yes,low_risk
635,Florida,Female,37,3,0.0,2,1,0,91086.73,yes,low_risk
699,Hawaii,Male,39,9,0.0,1,1,0,80963.92,yes,low_risk
700,Hawaii,Female,32,8,110923.15,2,1,1,161845.81,no,high_risk
805,California,Female,31,4,0.0,2,1,0,4798.12,yes,low_risk
731,Florida,Male,41,3,0.0,2,1,0,101371.72,yes,low_risk
622,Texas,Female,34,7,98675.74,1,1,0,138906.85,no,high_risk
471,Massachusetts,Male,26,8,0.0,2,1,1,179655.87,yes,low_risk
678,New York,Female,54,1,123699.28,2,0,1,105221.76,yes,low_risk
801,Massachusetts,Female,46,6,0.0,2,1,1,170008.74,yes,low_risk
793,New York,Female,32,1,96408.98,1,1,1,138191.81,yes,low_risk
746,California,Female,29,4,105599.67,1,1,1,43106.17,yes,low_risk
712,Hawaii,Female,33,6,0.0,2,1,1,190686.16,yes,low_risk
576,Massachusetts,Male,45,5,133618.01,1,0,0,135244.87,yes,low_risk
789,New York,Female,43,9,116644.29,2,1,1,60176.1,yes,low_risk
709,Texas,Male,22,0,112949.71,1,0,0,155231.55,yes,low_risk
724,California,Male,40,6,0.0,2,0,0,106149.48,yes,low_risk
734,Massachusetts,Male,39,6,0.0,1,1,1,95135.27,yes,low_risk
826,Florida,Male,41,5,146466.46,2,0,0,180934.67,yes,low_risk
610,California,Female,57,7,72092.95,4,0,1,113228.82,no,high_risk
559,Hawaii,Male,32,9,145303.52,1,1,0,103560.98,yes,low_risk
770,California,Female,37,9,0.0,2,0,0,22710.72,yes,low_risk
539,Hawaii,Male,39,6,0.0,2,1,1,86767.48,yes,low_risk
765,Massachusetts,Nonbinary,33,5,84557.82,1,1,1,69039.43,yes,low_risk
789,Florida,Female,40,4,0.0,2,1,0,137402.27,yes,low_risk
803,California,Female,32,9,192122.84,1,1,1,54277.45,no,high_risk
688,New York,Male,29,9,144553.5,2,1,0,143454.95,yes,low_risk
488,New York,Male,32,3,114540.38,1,1,0,92568.07,yes,low_risk
634,Texas,Male,74,5,108891.7,1,1,0,10078.02,yes,low_risk
657,Hawaii,Female,37,6,95845.6,1,1,0,122218.23,yes,low_risk
813,Texas,Male,59,2,135078.41,1,1,0,187636.06,no,high_risk
606,New York,Male,40,9,95293.86,2,0,1,96985.58,yes,low_risk
786,Massachusetts,Female,39,7,0.0,2,0,0,100929.59,yes,low_risk
729,Florida,Male,37,10,0.0,2,1,0,100862.54,yes,low_risk
731,Hawaii,Male,29,5,179539.2,1,0,0,112010.02,yes,low_risk
645,Florida,Male,49,8,0.0,2,1,0,162012.6,yes,low_risk
600,Hawaii,Male,37,1,142663.46,1,0,1,88669.89,yes,low_risk
700,New York,Female,40,4,148571.07,1,1,0,189826.96,no,high_risk
742,Hawaii,Male,39,8,140004.96,1,1,1,92985.78,yes,low_risk
646,California,Male,35,6,84026.86,1,0,1,164255.69,yes,low_risk
674,Hawaii,Female,21,9,120150.39,2,1,1,33964.03,yes,low_risk
826,Hawaii,Male,26,5,142662.68,1,0,0,60285.3,yes,low_risk
645,Florida,Male,36,4,59893.85,2,1,0,43999.64,yes,low_risk
763,Massachusetts,Male,37,8,0.0,2,1,1,933.38,yes,low_risk
591,California,Female,39,4,150500.64,1,1,0,14928.8,yes,low_risk
548,New York,Male,32,2,98986.28,1,1,1,55867.38,yes,low_risk
594,Massachusetts,Female,49,2,126615.94,2,0,1,123214.74,yes,low_risk
491,New York,Female,57,4,112044.72,1,1,1,41229.73,no,high_risk
628,Hawaii,Male,31,0,88421.81,1,0,0,72350.47,yes,low_risk
835,Hawaii,Male,23,9,0.0,1,1,0,19793.73,no,high_risk
810,Texas,Male,69,3,27288.43,1,1,1,110509.9,yes,low_risk
795,Florida,Female,56,5,0.0,1,1,0,35418.69,no,high_risk
615,Hawaii,Male,64,0,81564.1,2,0,1,35896.09,yes,low_risk
656,Massachusetts,Male,47,1,0.0,2,1,1,197961.93,yes,low_risk
554,Hawaii,Female,48,7,0.0,2,1,1,63708.07,yes,low_risk
693,Florida,Female,57,9,0.0,2,1,1,135502.77,yes,low_risk
512,Hawaii,Female,31,7,0.0,2,0,0,49326.07,yes,low_risk
670,Hawaii,Female,40,3,47364.45,1,1,1,148579.43,no,high_risk
516,New York,Female,33,10,138847.9,1,1,1,127256.7,yes,low_risk
635,Texas,Female,48,4,81556.89,2,1,0,191914.37,yes,low_risk
741,New York,Female,19,8,108711.57,2,1,0,24857.25,yes,low_risk
700,California,Female,27,6,137963.07,1,0,0,8996.79,yes,low_risk
584,California,Male,33,3,0.0,2,0,1,59103.13,yes,low_risk
735,California,Male,49,5,121973.28,1,1,0,148804.36,yes,low_risk
493,California,Female,36,5,148667.81,2,1,0,56092.51,yes,low_risk
812,Texas,Male,33,2,127154.14,2,0,1,105383.49,yes,low_risk
516,Hawaii,Female,37,8,113143.12,1,0,0,3363.36,yes,low_risk
637,New York,Male,43,1,135645.29,2,0,1,101382.86,no,high_risk
549,New York,Female,31,9,135020.21,2,1,1,23343.18,yes,low_risk
663,Hawaii,Male,35,9,0.0,2,1,1,195580.28,yes,low_risk
501,Texas,Male,24,4,130806.42,2,1,0,80241.14,yes,low_risk
646,Hawaii,Female,38,2,0.0,2,0,0,178752.73,yes,low_risk
717,New York,Female,33,0,115777.23,1,1,1,81508.1,yes,low_risk
591,California,Male,40,2,99886.42,2,1,1,88695.19,yes,low_risk
573,Hawaii,Male,27,2,128243.03,1,1,1,11631.34,yes,low_risk
549,Florida,Female,24,9,0.0,2,1,1,14406.41,yes,low_risk
577,Hawaii,Female,37,4,0.0,1,1,1,79881.39,yes,low_risk
696,Florida,Male,60,8,88786.81,1,1,1,196858.4,yes,low_risk
735,New York,Female,43,9,98807.45,1,0,0,184570.04,no,high_risk
648,Texas,Female,43,1,107963.38,1,0,0,186438.86,no,high_risk
700,California,Male,38,8,134811.3,1,1,0,1299.75,yes,low_risk
613,Florida,Male,39,8,118201.41,1,1,0,23315.59,yes,low_risk
569,Hawaii,Male,66,2,0.0,1,1,0,130784.2,no,high_risk
528,Hawaii,Female,32,4,85615.66,2,1,0,156192.43,yes,low_risk
525,Hawaii,Male,35,7,165358.77,1,0,1,94738.54,yes,low_risk
610,Hawaii,Female,27,2,0.0,2,1,0,14546.76,yes,low_risk
728,California,Male,33,8,129907.63,1,0,1,36083.96,yes,low_risk
748,California,Male,44,2,92911.52,1,0,1,85495.24,yes,low_risk
686,Massachusetts,Male,39,10,136258.06,1,0,0,89199.51,yes,low_risk
568,Hawaii,Female,44,7,0.0,2,0,0,62370.67,no,high_risk
592,Hawaii,Female,27,4,0.0,2,1,1,183569.25,yes,low_risk
643,Texas,Male,25,4,115142.9,1,1,1,148098.95,yes,low_risk
615,Florida,Male,61,9,0.0,2,1,0,150227.85,no,high_risk
670,California,Female,45,5,47884.92,1,1,1,54340.24,yes,low_risk
651,California,Male,53,7,0.0,2,1,1,130132.41,yes,low_risk
562,California,Male,35,7,0.0,1,0,0,48869.67,yes,low_risk
653,Massachusetts,Male,35,9,0.0,2,1,1,45956.05,yes,low_risk
580,California,Female,39,9,128362.59,1,1,0,86044.98,yes,low_risk
588,Massachusetts,Female,35,7,0.0,2,1,1,108739.15,yes,low_risk
623,Hawaii,Male,43,1,0.0,2,1,1,146379.3,yes,low_risk
678,Florida,Female,49,8,0.0,2,0,1,98090.69,yes,low_risk
608,Hawaii,Male,31,7,79962.92,2,1,0,60901.72,yes,low_risk
598,Hawaii,Male,38,0,125487.89,1,0,0,158111.71,yes,low_risk
567,Hawaii,Female,38,1,125877.65,2,1,1,107841.77,yes,low_risk
743,California,Female,40,6,0.0,1,1,0,28280.8,no,high_risk
535,Hawaii,Female,40,8,0.0,1,1,1,27689.77,yes,low_risk
746,California,Female,24,4,0.0,1,0,1,94105.0,yes,low_risk
651,California,Female,32,8,144581.96,1,1,1,87609.5,yes,low_risk
620,Hawaii,Male,41,3,0.0,2,1,1,137309.06,yes,low_risk
638,New York,Female,39,0,122501.28,2,1,1,95007.8,yes,low_risk
850,Texas,Male,43,5,129305.09,2,0,1,19244.58,yes,low_risk
558,Massachusetts,Female,31,7,0.0,2,1,0,166720.28,yes,low_risk
748,California,Female,20,7,0.0,2,0,0,10792.42,yes,low_risk
541,Texas,Nonbinary,51,7,90373.28,2,1,0,179861.79,yes,low_risk
705,Florida,Male,46,7,0.0,2,1,0,117273.35,yes,low_risk
727,New York,Male,58,5,106913.43,1,1,0,25881.0,no,high_risk
796,Texas,Female,52,9,167194.36,1,1,1,62808.93,no,high_risk
624,Florida,Male,38,7,123906.55,1,1,0,135096.78,yes,low_risk
676,Hawaii,Female,36,3,91711.59,1,1,1,95393.43,yes,low_risk
621,Massachusetts,Male,39,8,0.0,2,1,0,36122.96,yes,low_risk
520,New York,Male,32,5,110029.77,1,1,0,56246.69,yes,low_risk
580,Florida,Female,57,0,136820.99,1,0,1,108528.74,yes,low_risk
577,Hawaii,Male,60,10,125389.7,2,1,1,178616.73,yes,low_risk
610,California,Male,40,0,0.0,2,1,0,62232.6,yes,low_risk
587,California,Male,42,1,0.0,1,0,0,123006.91,yes,low_risk
725,California,Male,66,4,86459.8,1,1,1,141476.56,yes,low_risk
484,New York,Male,54,3,134388.11,1,0,0,49954.79,no,high_risk
574,Florida,Male,52,7,115532.52,1,1,0,196257.67,yes,low_risk
559,Hawaii,Female,34,5,68999.66,2,1,1,66879.27,yes,low_risk
686,Hawaii,Male,34,6,146178.13,2,1,1,88837.11,yes,low_risk
689,Hawaii,Male,39,7,0.0,2,0,0,14917.09,yes,low_risk
593,California,Female,33,0,95927.04,1,1,0,199478.05,yes,low_risk
725,Texas,Male,19,0,75888.2,1,0,0,45613.75,yes,low_risk
776,New York,Male,38,5,112281.7,1,0,1,89893.6,yes,low_risk
747,New York,Male,36,8,102603.3,2,1,1,180693.61,yes,low_risk
649,Texas,Male,40,4,95001.33,1,0,1,123202.99,yes,low_risk
585,California,Female,28,6,105795.9,1,1,1,41219.09,yes,low_risk
