creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,churn,decisions,predicted_churn,event_id
662,Hawaii,Female,38,2,96479.81,1,1,0,120259.41,yes,low_risk,0.6038694936315684,129
727,Florida,Male,71,8,0.0,1,1,1,198446.91,no,high_risk,0.5670456663108925,130
667,Florida,Male,31,5,0.0,2,1,1,20346.69,yes,low_risk,0.9281273351497152,131
588,California,Female,34,3,120777.88,1,1,1,131729.52,yes,low_risk,0.7650782567379621,132
664,California,Male,55,8,0.0,2,1,1,139161.64,yes,low_risk,0.7938846972957747,133
808,Hawaii,Male,41,0,0.0,1,1,1,79888.78,yes,low_risk,0.580798957788483,134
806,Texas,Male,31,10,138653.51,1,1,0,190803.37,yes,low_risk,0.5227415786165012,135
548,Massachusetts,Male,44,8,0.0,1,1,0,16989.77,yes,low_risk,0.259903511543323,136
584,California,Female,35,2,114321.28,2,0,0,15959.01,yes,low_risk,0.7483760004224724,137
570,Hawaii,Female,29,4,153040.03,1,1,1,131363.57,no,high_risk,0.7731230983409114,138
543,California,Male,43,9,0.0,2,1,1,78858.07,yes,low_risk,0.8314839624530085,139
831,Massachusetts,Female,44,10,0.0,1,0,1,47729.33,yes,low_risk,0.4336512298511915,140
752,Hawaii,Female,41,8,0.0,2,1,0,139844.04,no,high_risk,0.8231760182952342,141
595,Florida,Female,23,10,101126.66,2,0,0,37042.8,yes,low_risk,0.8106716225133858,142
725,California,Male,35,7,75915.75,1,1,0,150507.43,yes,low_risk,0.6359770928611088,143
594,Hawaii,Female,31,9,0.0,1,0,1,5719.11,yes,low_risk,0.6773880050204585,144
614,Hawaii,Female,27,9,106414.57,2,0,0,77500.81,yes,low_risk,0.8193078809973956,145
798,New York,Female,39,6,119787.76,1,1,1,164248.33,yes,low_risk,0.4828423647534897,146
850,California,Male,47,6,0.0,1,1,0,187391.02,no,high_risk,0.1265914192851009,147
547,California,Male,62,10,127738.75,2,1,1,85153.0,yes,low_risk,0.529193525923052,148
681,California,Female,58,8,93173.88,1,1,1,139761.25,yes,low_risk,0.4245129370854282,149
756,Hawaii,Male,67,4,0.0,3,1,1,93081.87,yes,low_risk,0.4615463493195148,150
677,New York,Female,44,4,148770.61,2,1,1,191057.76,yes,low_risk,0.6144732894070344,151
645,New York,Female,41,2,138881.04,1,1,0,129936.53,no,high_risk,0.305769327368437,152
577,Florida,Male,29,2,0.0,1,1,1,168924.41,yes,low_risk,0.6835070878972198,153
617,Florida,Nonbinary,45,1,0.0,1,1,0,143298.06,yes,low_risk,0.1925645211872439,154
597,Hawaii,Female,28,0,142705.95,1,1,0,127233.39,yes,low_risk,0.6868945444066634,155
711,California,Female,25,5,190066.54,1,0,0,51345.39,no,high_risk,0.6103383873613278,156
637,California,Male,41,2,0.0,2,0,1,102515.42,yes,low_risk,0.8517970435449536,157
749,Massachusetts,Female,28,3,0.0,1,1,0,3408.7,yes,low_risk,0.5700175056534573,158
770,Florida,Male,30,8,0.0,2,0,1,50839.85,yes,low_risk,0.9351834934356972,159
623,Florida,Female,40,4,0.0,3,1,0,31669.18,yes,low_risk,0.3989337804852021,160
607,Texas,Nonbinary,37,4,135927.06,1,0,0,180890.4,yes,low_risk,0.44628168659907,161
589,Hawaii,Female,31,10,110635.32,1,1,0,148218.86,yes,low_risk,0.6855208627139799,162
452,Hawaii,Female,33,6,131698.57,2,1,0,151623.91,yes,low_risk,0.7930536146335608,163
798,Hawaii,Male,37,8,0.0,3,0,0,110783.28,yes,low_risk,0.6131428988696118,164
616,Texas,Female,43,7,95984.21,1,0,1,115262.54,no,high_risk,0.3075808988283532,165
586,Texas,Female,47,5,157099.47,2,1,1,65481.86,yes,low_risk,0.4390605939778931,166
632,Florida,Male,47,3,0.0,2,1,0,178822.32,yes,low_risk,0.6919800039408486,167
653,Texas,Male,31,2,154741.45,2,0,0,25183.01,yes,low_risk,0.7719452735202001,168
604,Florida,Male,27,9,101352.78,1,0,0,30252.3,yes,low_risk,0.6883751665690214,169
718,California,Male,52,8,79475.3,3,1,1,32421.32,no,high_risk,0.0328126515389936,170
618,California,Female,42,2,0.0,4,0,0,111097.39,no,high_risk,0.1043348668080981,171
663,California,Female,33,2,0.0,2,1,0,153295.0,yes,low_risk,0.90864949096367,172
638,Texas,Male,25,4,148045.45,2,1,1,114722.42,yes,low_risk,0.8456370281679807,173
565,Texas,Female,32,4,90322.99,2,0,1,118740.37,yes,low_risk,0.8997943532801339,174
542,California,Female,31,3,0.0,2,1,1,115217.59,yes,low_risk,0.938616778972251,175
737,New York,Male,43,8,96353.8,1,0,0,10209.8,yes,low_risk,0.1846540382231844,176
611,California,Male,38,4,71018.6,2,1,0,2444.29,yes,low_risk,0.7307753376001556,177
620,Massachusetts,Male,29,9,0.0,2,1,0,13133.88,yes,low_risk,0.9297790366842602,178
584,California,Female,41,3,0.0,2,1,1,160095.48,yes,low_risk,0.8795467774508318,179
568,Florida,Female,36,10,153610.61,1,1,1,54083.8,no,high_risk,0.69150203429247,180
577,California,Female,32,1,0.0,2,1,0,9902.39,yes,low_risk,0.9169054704008416,181
646,New York,Male,39,6,121681.91,2,0,1,61793.47,yes,low_risk,0.7031560698217741,182
687,Florida,Female,50,5,0.0,2,1,0,110230.4,yes,low_risk,0.5979488442696994,183
673,Massachusetts,Male,40,1,121629.22,1,1,1,3258.6,yes,low_risk,0.6409657445378398,184
583,Massachusetts,Male,47,5,102562.23,1,1,0,92708.1,yes,low_risk,0.1692569338193327,185
567,Hawaii,Female,35,5,166118.45,2,1,0,127827.18,yes,low_risk,0.7593098589029177,186
425,Florida,Female,22,7,169649.73,2,0,1,136365.0,no,high_risk,0.7351928651523337,187
477,New York,Female,58,8,145984.92,1,1,1,24564.7,yes,low_risk,0.3331097220829423,188
536,California,Male,32,7,178011.5,2,1,0,22375.14,yes,low_risk,0.7827191273088715,189
756,California,Female,42,9,0.0,2,1,0,35673.42,yes,low_risk,0.7302636322362241,190
519,California,Female,22,8,0.0,1,0,1,167553.06,yes,low_risk,0.7000410627370196,191
695,California,Female,42,7,121453.63,1,0,0,46374.64,yes,low_risk,0.2954248995985084,192
715,California,Male,34,4,124314.45,1,0,0,97782.92,yes,low_risk,0.6583767259355581,193
602,New York,Male,38,2,71667.97,2,0,0,137111.89,yes,low_risk,0.7005211140686396,194
687,Hawaii,Female,47,7,0.0,2,1,1,177624.01,yes,low_risk,0.8264886410915898,195
583,California,Male,59,7,127450.14,1,0,1,67552.71,yes,low_risk,0.4102547361889758,196
640,Hawaii,Female,47,6,89799.46,2,0,1,13783.77,no,high_risk,0.4874602643359057,197
490,Massachusetts,Male,31,3,145260.23,1,0,1,114066.77,yes,low_risk,0.7604284705087516,198
469,California,Female,48,5,0.0,1,1,0,160529.71,no,high_risk,0.0901525933079847,199
682,California,Female,46,2,0.0,1,1,1,114442.66,yes,low_risk,0.2865878384974509,200
627,Massachusetts,Female,25,4,0.0,1,1,1,194313.93,yes,low_risk,0.6764705319099029,201
502,California,Male,33,8,0.0,2,1,1,123509.01,yes,low_risk,0.9400280278593496,202
658,California,Female,39,4,0.0,1,1,1,147530.06,yes,low_risk,0.6080975310404433,203
573,Florida,Female,44,4,0.0,1,1,1,94862.93,yes,low_risk,0.3739945277658134,204
701,Texas,Male,23,5,186101.18,2,1,1,76611.33,yes,low_risk,0.7917948232255902,205
638,Hawaii,Female,32,0,0.0,2,1,0,160129.99,yes,low_risk,0.913700790338994,206
651,Massachusetts,Female,63,8,129968.67,1,1,1,11830.53,yes,low_risk,0.4998524225977497,207
560,Hawaii,Female,30,0,108883.29,1,1,0,27914.95,yes,low_risk,0.6908802088405342,208
749,Massachusetts,Male,36,7,0.0,2,0,0,80134.65,yes,low_risk,0.8650312282765049,209
624,Massachusetts,Female,34,6,0.0,1,1,0,582.59,no,high_risk,0.5033009651051806,210
747,California,Male,49,6,202904.64,1,1,1,17298.72,no,high_risk,0.3653545934698413,211
496,New York,Female,59,7,91680.1,2,1,0,163141.18,no,high_risk,0.1107739914862909,212
850,California,Female,71,4,0.0,2,1,1,107236.87,yes,low_risk,0.8593791890913544,213
675,Massachusetts,Female,35,8,155621.08,1,0,1,35177.31,yes,low_risk,0.751666389941057,214
598,California,Female,40,9,0.0,1,1,0,68462.59,no,high_risk,0.4010802061409409,215
781,California,Female,28,4,0.0,2,1,0,177703.15,yes,low_risk,0.924331714845974,216
645,California,Male,32,4,0.0,2,0,1,97628.08,yes,low_risk,0.9331634069958068,217
471,Hawaii,Male,42,3,164951.56,1,1,0,190531.77,yes,low_risk,0.2526307109802657,218
728,Hawaii,Male,43,7,0.0,2,1,0,40023.7,yes,low_risk,0.6802590623704355,219
621,California,Female,40,6,0.0,1,1,0,155155.25,yes,low_risk,0.3919405806053989,220
587,California,Female,46,6,88820.29,1,0,0,70224.34,yes,low_risk,0.2422406595650628,221
720,Florida,Male,31,4,141356.47,1,0,0,137985.69,yes,low_risk,0.6544990452421692,222
850,Hawaii,Male,31,1,96399.31,2,1,0,106534.15,yes,low_risk,0.8580878269312748,223
554,Florida,Female,27,4,0.0,2,1,1,135083.73,yes,low_risk,0.9310938123109384,224
556,California,Female,47,2,139914.27,1,1,1,50390.98,yes,low_risk,0.3624707258815097,225
691,California,Male,24,6,0.0,2,1,1,92811.2,yes,low_risk,0.9306219638469746,226
599,Florida,Male,35,6,137102.65,1,0,0,76870.81,yes,low_risk,0.6362826169953884,227
621,New York,Female,31,8,100375.39,1,1,1,90384.26,yes,low_risk,0.6667942357978162,228
594,New York,Female,29,3,130830.22,1,1,0,61048.53,yes,low_risk,0.4885088592839555,229
683,Massachusetts,Female,36,7,0.0,2,1,0,104786.59,yes,low_risk,0.8610449184171546,230
618,California,Male,48,7,0.0,1,1,0,13921.82,no,high_risk,0.0996630216781734,231
606,Florida,Male,36,0,94153.56,1,0,1,120138.27,yes,low_risk,0.7040115730237045,232
579,California,Female,29,10,73194.52,2,1,1,129209.09,yes,low_risk,0.9106314618903102,233
526,Texas,Male,34,3,122726.56,1,1,1,46772.36,yes,low_risk,0.6059260698650152,234
527,Florida,Male,28,6,128396.33,2,1,0,79919.97,yes,low_risk,0.7839144189536689,235
648,Florida,Female,53,6,111201.41,1,1,1,121542.29,yes,low_risk,0.3569613870816671,236
617,Florida,Male,38,7,0.0,1,1,1,27239.28,yes,low_risk,0.6323921969091094,237
468,California,Male,36,3,61636.97,1,0,0,107787.42,yes,low_risk,0.5862896817528412,238
629,New York,Female,37,1,35549.81,2,0,0,49676.33,yes,low_risk,0.768772555153044,239
728,Florida,Female,43,5,0.0,1,1,1,120088.17,yes,low_risk,0.3919362005510258,240
534,Hawaii,Nonbinary,62,2,0.0,2,0,0,42763.12,no,high_risk,0.2656073226698456,241
666,California,Female,33,2,147229.65,1,1,1,56410.17,yes,low_risk,0.7663444417012772,242
766,Florida,Male,41,6,99208.46,2,1,0,62402.38,yes,low_risk,0.672947206431121,243
669,Hawaii,Male,25,1,157848.53,1,0,0,37543.93,no,high_risk,0.6847811500493615,244
727,Massachusetts,Male,43,2,97403.18,1,1,1,107415.02,no,high_risk,0.4387395533063508,245
771,Massachusetts,Female,33,5,0.0,2,1,0,8673.43,yes,low_risk,0.9013897969624024,246
749,Hawaii,Male,40,1,139290.41,1,1,0,182855.42,no,high_risk,0.4274534911846222,247
605,Hawaii,Female,28,6,0.0,2,0,0,159508.52,yes,low_risk,0.9322561623976194,248
674,California,Male,46,2,174701.05,1,1,0,90189.72,no,high_risk,0.2268812016413077,249
670,California,Female,42,6,112333.63,1,1,1,65706.86,yes,low_risk,0.4425677224931048,250
783,Florida,Female,59,9,126224.87,1,1,1,4423.63,yes,low_risk,0.4508806268934884,251
742,Hawaii,Female,28,2,191864.51,1,1,0,108457.99,no,high_risk,0.6176997178531367,252
549,Texas,Female,49,6,124829.16,1,0,1,93551.36,yes,low_risk,0.2493569199525554,253
654,Massachusetts,Female,36,2,0.0,2,1,1,146652.11,yes,low_risk,0.90792097145569,254
738,California,Male,26,9,0.0,2,1,1,48644.94,yes,low_risk,0.9338154495157968,255
746,California,Male,37,2,0.0,2,1,0,143194.05,yes,low_risk,0.8432248842646871,256
706,Florida,Female,53,3,0.0,3,0,0,88479.02,no,high_risk,0.0354250257292768,257
554,California,Male,24,10,0.0,1,0,0,92180.62,yes,low_risk,0.5820410792498953,258
508,California,Male,44,3,115451.05,2,0,0,67234.33,yes,low_risk,0.5032128867611785,259
705,California,Female,37,10,0.0,2,1,1,13935.53,no,high_risk,0.8216148394106534,260
769,Hawaii,Female,38,2,0.0,2,0,0,75578.67,yes,low_risk,0.8399989676812902,261
708,Florida,Female,64,5,0.0,3,0,1,112520.07,no,high_risk,0.1294403111534711,262
757,Texas,Male,31,8,149085.9,2,1,1,197077.36,yes,low_risk,0.8242917759470658,263
685,Massachusetts,Female,30,2,0.0,3,1,1,172576.43,no,high_risk,0.135683565590045,264
699,Florida,Male,31,8,125927.51,2,1,0,147661.47,yes,low_risk,0.7872601843602014,265
431,Hawaii,Male,37,0,120764.08,1,1,1,117023.08,yes,low_risk,0.6795688084078709,266
533,New York,Male,43,4,80442.06,2,0,1,12537.42,yes,low_risk,0.5867992675222264,267
633,California,Male,31,1,0.0,1,1,0,48606.71,yes,low_risk,0.6032526154850256,268
580,Hawaii,Female,56,1,131368.3,1,1,0,106918.67,no,high_risk,0.0567038953991437,269
746,Hawaii,Male,24,3,137492.35,2,0,1,170142.09,yes,low_risk,0.8375121156792205,270
710,Hawaii,Female,36,4,116085.06,1,1,0,58601.61,yes,low_risk,0.6287784754356747,271
654,California,Male,55,3,87485.67,1,1,1,3299.01,yes,low_risk,0.3662792324374561,272
754,New York,Female,48,7,141819.02,1,1,0,93550.53,no,high_risk,0.1052509879138582,273
783,Hawaii,Male,38,9,114135.17,1,1,0,153269.98,yes,low_risk,0.5999715293511477,274
660,Florida,Female,42,5,0.0,3,1,1,189016.24,no,high_risk,0.1447944383095719,275
654,California,Male,29,4,132954.64,1,1,1,146715.07,yes,low_risk,0.7755517831700789,276
690,Florida,Female,36,10,91760.11,1,1,1,135784.94,yes,low_risk,0.7209924120018983,277
578,California,Male,32,4,0.0,2,1,1,141822.8,yes,low_risk,0.9329372151740946,278
740,California,Female,37,5,0.0,2,1,1,27528.4,yes,low_risk,0.8778635788787342,279
653,Texas,Female,38,5,114268.22,2,1,1,89524.83,yes,low_risk,0.7354774763409406,280
568,New York,Female,29,2,129177.01,2,0,1,104617.99,yes,low_risk,0.833722366828205,281
451,Massachusetts,Female,23,9,0.0,2,0,1,48021.71,yes,low_risk,0.9103960054479638,282
662,Massachusetts,Female,54,1,187997.15,1,0,0,111442.71,no,high_risk,0.0765342125900747,283
693,New York,Female,41,9,181461.48,3,1,1,187929.43,no,high_risk,0.0187808396560656,284
503,Massachusetts,Male,37,6,0.0,2,0,0,136506.86,yes,low_risk,0.872213511371647,285
611,Florida,Female,28,3,96381.68,2,1,0,181419.29,yes,low_risk,0.8499127059092573,286
696,New York,Male,32,4,84421.62,1,0,1,52314.71,yes,low_risk,0.7810545162441703,287
717,Hawaii,Male,36,2,148061.89,1,1,0,179128.69,no,high_risk,0.6195981230558527,288
506,California,Female,32,3,0.0,1,1,1,80823.02,yes,low_risk,0.6469801975269887,289
714,California,Male,40,9,46520.69,1,1,1,96687.25,yes,low_risk,0.5936337969454596,290
671,California,Female,31,7,41299.03,1,0,1,102681.32,yes,low_risk,0.6807026039810641,291
808,Florida,Male,47,8,139196.0,1,0,1,74028.36,yes,low_risk,0.3988290852341402,292
553,Texas,Female,25,7,128524.19,2,1,0,20682.46,yes,low_risk,0.7684267362698988,293
570,California,Female,33,8,0.0,1,1,1,124641.42,yes,low_risk,0.6795303940708046,294
702,Hawaii,Male,26,5,56738.47,2,1,1,100442.22,no,high_risk,0.8597442245743703,295
606,Hawaii,Female,71,8,0.0,2,1,1,169741.96,yes,low_risk,0.8707769457179241,296
539,California,Male,39,6,0.0,2,1,1,86767.48,yes,low_risk,0.8972702975156204,297
748,Hawaii,Male,66,8,0.0,1,1,1,163331.65,yes,low_risk,0.6637032011889116,298
785,California,Male,36,2,0.0,1,0,1,61811.1,yes,low_risk,0.6832755638681823,299
600,Massachusetts,Male,37,8,177657.35,1,1,1,77142.32,yes,low_risk,0.6978114107692267,300
567,Hawaii,Male,42,2,0.0,2,1,1,167984.61,yes,low_risk,0.8392976577202873,301
680,Hawaii,Male,33,2,108393.35,1,0,1,39057.67,yes,low_risk,0.7736969291501714,302
734,Hawaii,Male,45,2,0.0,2,1,0,99593.28,yes,low_risk,0.6690502986741356,303
635,Hawaii,Female,58,1,0.0,1,1,1,58907.08,no,high_risk,0.2892806951209344,304
592,California,Male,28,5,137222.77,1,0,0,39608.58,yes,low_risk,0.6762598249253974,305
759,Florida,Female,35,7,147936.42,1,1,1,106785.7,yes,low_risk,0.7605393017695714,306
580,California,Male,50,0,125647.36,1,1,0,57541.08,no,high_risk,0.097038820307256,307
680,Hawaii,Male,31,9,0.0,2,1,0,36145.53,yes,low_risk,0.9314437050651068,308
670,Hawaii,Male,25,7,0.0,2,1,1,144723.38,yes,low_risk,0.9300784508225828,309
632,Hawaii,Male,40,3,193354.86,2,1,0,149188.41,yes,low_risk,0.5873972977699065,310
596,Hawaii,Male,33,8,0.0,1,1,0,121189.3,no,high_risk,0.5136640319630164,311
599,Florida,Male,36,4,0.0,2,0,0,13210.56,yes,low_risk,0.8657518911856816,312
653,California,Female,38,8,102133.38,1,1,1,166520.96,yes,low_risk,0.6880738026137528,313
476,Texas,Male,30,3,134366.42,1,1,0,68343.53,yes,low_risk,0.4987466358394408,314
714,Massachusetts,Male,44,7,0.0,1,0,1,6923.11,yes,low_risk,0.4057478855937307,315
660,California,Male,35,7,0.0,2,1,0,13218.6,yes,low_risk,0.8924583271249182,316
745,California,Female,40,6,131184.67,1,1,1,49815.62,yes,low_risk,0.6412885217473421,317
552,Massachusetts,Female,34,4,0.0,2,1,0,140286.69,yes,low_risk,0.9145685552263378,318
579,Massachusetts,Male,22,3,118680.57,1,1,1,49829.8,yes,low_risk,0.7839538219999124,319
538,Texas,Male,39,7,108055.1,2,1,0,27231.26,yes,low_risk,0.6129238235162141,320
556,Hawaii,Male,35,10,0.0,2,1,1,192751.18,yes,low_risk,0.9358134750934988,321
601,California,Male,35,2,0.0,2,1,1,118983.18,yes,low_risk,0.933068163828604,322
662,Hawaii,Male,64,0,98848.19,1,0,1,42730.12,yes,low_risk,0.4942098956024244,323
688,Hawaii,Male,26,0,0.0,2,1,0,105784.85,yes,low_risk,0.8952863080283882,324
534,Florida,Male,51,3,0.0,2,0,1,20856.31,yes,low_risk,0.7724854073777481,325
708,New York,Nonbinary,42,9,176702.36,2,1,1,104804.74,yes,low_risk,0.6058746593536357,326
709,California,Female,30,5,0.0,2,0,1,161388.22,yes,low_risk,0.9326650644801115,327
652,Hawaii,Female,34,6,97435.85,2,1,1,104331.76,yes,low_risk,0.8944876299826053,328
694,Texas,Female,37,8,98218.04,2,1,0,182354.46,no,high_risk,0.6585635182705674,329
622,California,Female,30,2,158584.82,3,1,0,142342.55,no,high_risk,0.0479015059344712,330
496,Hawaii,Male,31,5,0.0,2,1,0,93713.13,yes,low_risk,0.9268204077316236,331
707,Hawaii,Male,29,4,0.0,2,1,0,139953.94,yes,low_risk,0.9269039133577648,332
598,Florida,Female,35,8,0.0,3,0,1,88658.73,yes,low_risk,0.3850384305816849,333
648,Texas,Female,39,3,126935.98,2,0,1,57995.74,yes,low_risk,0.7277711562920922,334
543,Florida,Male,37,3,0.0,2,1,1,78915.68,yes,low_risk,0.9102530555652412,335
614,Massachusetts,Female,41,7,146997.64,2,0,0,137791.18,yes,low_risk,0.6233591278472174,336
652,Massachusetts,Female,38,6,123081.84,2,1,1,188657.97,yes,low_risk,0.7675842427949258,337
405,California,Male,39,10,0.0,1,1,0,160810.85,no,high_risk,0.3896922397406171,338
708,Texas,Female,54,8,145151.4,1,0,1,125311.17,no,high_risk,0.256075641918993,339
793,Florida,Male,52,2,0.0,1,1,0,159123.82,no,high_risk,0.0440438103326383,340
748,Hawaii,Male,44,4,112610.77,1,0,1,2048.55,yes,low_risk,0.4152073553182261,341
635,Florida,Female,37,3,0.0,2,1,0,91086.73,yes,low_risk,0.8462900263750233,342
699,Hawaii,Male,39,9,0.0,1,1,0,80963.92,yes,low_risk,0.4865412377341808,343
700,Hawaii,Female,32,8,110923.15,2,1,1,161845.81,no,high_risk,0.8555916352857913,344
805,California,Female,31,4,0.0,2,1,0,4798.12,yes,low_risk,0.9168892309683756,345
731,Florida,Male,41,3,0.0,2,1,0,101371.72,yes,low_risk,0.8124132508729963,346
622,Texas,Female,34,7,98675.74,1,1,0,138906.85,no,high_risk,0.5113547129953941,347
471,Massachusetts,Male,26,8,0.0,2,1,1,179655.87,yes,low_risk,0.8692067159987177,348
678,New York,Female,54,1,123699.28,2,0,1,105221.76,yes,low_risk,0.4098927460161725,349
801,Massachusetts,Female,46,6,0.0,2,1,1,170008.74,yes,low_risk,0.8275038116136695,350
793,New York,Female,32,1,96408.98,1,1,1,138191.81,yes,low_risk,0.7633994592365759,351
746,California,Female,29,4,105599.67,1,1,1,43106.17,yes,low_risk,0.8069699815331404,352
712,Hawaii,Female,33,6,0.0,2,1,1,190686.16,yes,low_risk,0.9286192969848934,353
576,Massachusetts,Male,45,5,133618.01,1,0,0,135244.87,yes,low_risk,0.2466456647116527,354
789,New York,Female,43,9,116644.29,2,1,1,60176.1,yes,low_risk,0.4993663075873656,355
709,Texas,Male,22,0,112949.71,1,0,0,155231.55,yes,low_risk,0.4841914820096035,356
724,California,Male,40,6,0.0,2,0,0,106149.48,yes,low_risk,0.8288485252187905,357
734,Massachusetts,Male,39,6,0.0,1,1,1,95135.27,yes,low_risk,0.6524571154876675,358
826,Florida,Male,41,5,146466.46,2,0,0,180934.67,yes,low_risk,0.6809487621477017,359
610,California,Female,57,7,72092.95,4,0,1,113228.82,no,high_risk,0.0354526158022885,360
559,Hawaii,Male,32,9,145303.52,1,1,0,103560.98,yes,low_risk,0.688782668778745,361
770,California,Female,37,9,0.0,2,0,0,22710.72,yes,low_risk,0.8594400825272552,362
539,Hawaii,Male,39,6,0.0,2,1,1,86767.48,yes,low_risk,0.8994043510429541,363
765,Massachusetts,Nonbinary,33,5,84557.82,1,1,1,69039.43,yes,low_risk,0.7962469318674614,364
789,Florida,Female,40,4,0.0,2,1,0,137402.27,yes,low_risk,0.8295260807818957,365
803,California,Female,32,9,192122.84,1,1,1,54277.45,no,high_risk,0.6712944390320236,366
688,New York,Male,29,9,144553.5,2,1,0,143454.95,yes,low_risk,0.7589935310397742,367
488,New York,Male,32,3,114540.38,1,1,0,92568.07,yes,low_risk,0.5007095954213315,368
634,Texas,Male,74,5,108891.7,1,1,0,10078.02,yes,low_risk,0.5384120485681605,369
657,Hawaii,Female,37,6,95845.6,1,1,0,122218.23,yes,low_risk,0.6301141602305994,370
813,Texas,Male,59,2,135078.41,1,1,0,187636.06,no,high_risk,0.0503979885239543,371
606,New York,Male,40,9,95293.86,2,0,1,96985.58,yes,low_risk,0.7441920710220314,372
786,Massachusetts,Female,39,7,0.0,2,0,0,100929.59,yes,low_risk,0.8467292848393392,373
729,Florida,Male,37,10,0.0,2,1,0,100862.54,yes,low_risk,0.843231125594834,374
731,Hawaii,Male,29,5,179539.2,1,0,0,112010.02,yes,low_risk,0.638759433841903,375
645,Florida,Male,49,8,0.0,2,1,0,162012.6,yes,low_risk,0.6446807813965045,376
600,Hawaii,Male,37,1,142663.46,1,0,1,88669.89,yes,low_risk,0.7156258475479095,377
700,New York,Female,40,4,148571.07,1,1,0,189826.96,no,high_risk,0.3715703449158815,378
742,Hawaii,Male,39,8,140004.96,1,1,1,92985.78,yes,low_risk,0.6980808940346858,379
646,California,Male,35,6,84026.86,1,0,1,164255.69,yes,low_risk,0.7446804048379679,380
674,Hawaii,Female,21,9,120150.39,2,1,1,33964.03,yes,low_risk,0.8629493233414993,381
826,Hawaii,Male,26,5,142662.68,1,0,0,60285.3,yes,low_risk,0.6854300007433128,382
645,Florida,Male,36,4,59893.85,2,1,0,43999.64,yes,low_risk,0.7554994604515476,383
763,Massachusetts,Male,37,8,0.0,2,1,1,933.38,yes,low_risk,0.8780087837276532,384
591,California,Female,39,4,150500.64,1,1,0,14928.8,yes,low_risk,0.5664539217768789,385
548,New York,Male,32,2,98986.28,1,1,1,55867.38,yes,low_risk,0.7315487059873597,386
594,Massachusetts,Female,49,2,126615.94,2,0,1,123214.74,yes,low_risk,0.4305106318255294,387
491,New York,Female,57,4,112044.72,1,1,1,41229.73,no,high_risk,0.2485682081673267,388
628,Hawaii,Male,31,0,88421.81,1,0,0,72350.47,yes,low_risk,0.7371321941800285,389
835,Hawaii,Male,23,9,0.0,1,1,0,19793.73,no,high_risk,0.5681151836485655,390
